Created on,21/4/2025
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Penyata Pilihanraya Umum Dewan Rakyat dan Dewan-Dewan Undangan Negeri kecuali Dewan-Dewan Undangan Negeri Kelantan, Sabah dan Sarawak 1978, New Straits Times 7th April 1982, The politics of accommodation: An analysis of the 1978 Malaysian general election (Research notes and discussions papers - Institute of Southeast Asian Studies ; no. 10) Paperback – January 1, 1978 by Ismail Kassim, Malaysian Politics and the 1978 Election edited by Harold Crouch, Lee Kam Hing and Michael Ong. For specific DUN Candidate background details, refer to 1978_Other_Sources_DUN_File"
Disclaimers,"Candidate names follow the Penyata Pilihan Raya Umum Dewan Rakyat dan Dewan-Dewan Undangan Negeri kecuali Dewan-Dewan Undangan Negeri Kelantan, Sabah dan Sarawak 1978. There is a significant number of candidates of which candidate sex category is missing. No data is provided for candidate age. People's Independent Front (Penang) is composed of former MCA members and was originally composed of 12 persons. However, three of the 12 failed to appear for nominations and were eventually reduced to the Gang of 7  (Mah Cheok Tat, Ho Kay Pin, Khoo Soo Kheng, Lim Kah Pin, Khoo Huat Hin, Gan Kah Pheng, Tan Chong Hooi). Ho Kay Pin contested for the Parliamentary seat of Tanjong, while Khoo Soo Kheng contested for the Parliamentary seat of Nibong Tebal.  BN candidates for DUN Kampong Kolam (Penang) (Gerakan was allocated to the seat) and DUN Kuala Kubu Baharu (Selangor) (MCA was allocated to the seat) were disqualified during nominations. The original set of candidates for DUN Kampong Jawa (Selangor) for the 1978 DUN elections was disqualified on nomination day. A separate election was carried out for the DUN Kampong Jawa of which UMNO won the seat. New Straits Times 7th April 1982 claims there were 209 UMNO candidates when the actual number is 208 UMNO candidates. Refer to MALAYSIA_1978_DUN_DISCLAIMERS for errors and contradictions. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives"
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,"Unique Identifier. For this case, it is the Parliamentary Code"
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,"Parliamentary Constituency Code (for Peninsular Malaysia, 1974 - 1984)"
PARLIAMENTARY CONSTITUENCY NAME,"Parliamentary Constituency Name (for Peninsular Malaysia, 1974 - 1984)"
STATE CONSTITUENCY CODE,"State Constituency Code (for Peninsular Malaysia, 1974 - 1984)"
STATE CONSTITUENCY NAME,"State Constituency Code (for Peninsular Malaysia, 1974 - 1984)"
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,"Total Elector count using 1978 Elections Electoral Roll which is based on Electoral Roll that was certified on 13th April 1978 and for Kelantan, based on certified electoral roll of 11th May 1978"
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll (or Total Voted)
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name as per the Government Gazette
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
DAP,Democratic Action Party (DAP) Name
DAP CANDIDATE,DAP Candidate Name as per the Government Gazette
DAP CANDIDATE SEX,Male/Female Classification
DAP CANDIDATE AGE,Age of Party Candidate
DAP VOTE,Party Valid Vote for the DAP Candidate
DAP CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PAS,Parti Islam Se-Malaysia (PAS)
PAS CANDIDATE,PAS Candidate Name as per the Government Gazette
PAS CANDIDATE SEX,Male/Female Classification
PAS CANDIDATE AGE,Age of PAS Candidate
PAS VOTE,PAS Valid Vote for the Candidate
PAS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
