Created on,"13/4/2024 updated on 15/4/2024, 21/5/2024, 9/6/2024",
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA),
Sources,"Government Gazettes of 6th July 1978 and 18th August 1978,Penyata Pilihanraya Umum Dewan Rakyat dan Dewan-Dewan Undangan Negeri kecuali Dewan-Dewan Undangan Negeri Kelantan, Sabah dan Sarawak 1978, New Straits Times 7th April 1982, The politics of accommodation: An analysis of the 1978 Malaysian general election (Research notes and discussions papers - Institute of Southeast Asian Studies ; no. 10) Paperback – January 1, 1978 by Ismail Kassim. Calon-Calon Wanita yang Bertanding dalam Pilihanraya Umum 1955 - 1986. For specific Parliamentarian Candidate background details, refer to 1978_Other_Sources_Parliament_File",
Disclaimers,"Candidate Names follow the Government Gazette of 6th July 1978 names and there are different spellings and names found on Government Gazette of 17th August 1978. Government Gazette of 17th August 1978 and 1978 EC Report had some errorneous values for Parliamentary Constituency of Ulu Nerus, Telok Anson, Kuantan and Tawau. Gazette values for BN Candidates of Bukit Bendera and Jelutong were corrected. BN Candidate for Parliamentary Constituency of Sungai Besi was disqualified. For Parliamentary Constituency of Kinabatangan, BN allowed Berjaya backed and USNO backed candidates to vye for the seat. Berjaya backed independent won Kinabatangan. MCA candidate status of Parliamentary Constituency of Bandar Kuala Lumpur is made through educated guess through Harold Crouch's publication entitled ""Malaysia's 1982 General Election"". Independent Candidate of Bukit Mertajam (Tan Cheng Bee) and Tanjong (Hoo Kee Ping) Parliamentary Constituencies are rebel MCA candidates. According to Ismail Kassim, the Independent Candidate for Gaya Parliamentary Constituency (Chin Nyuk Fatt) is part of Sabah Chinese United Party (SCUP). Independent Candidate of Parit Buntar Parliamentary Constituency is dissident Berjasa candidate. Independent Candidate for Bandar Kuching Parliamentary Constituency (Leong Ho Yuen) withdraw from contest after nomination. There is an unknown minor error for Sarawak's rejected vote count. 1978 Election Report errorneously put a total electorate of Negeri Sembilan as 221785. EC made a mistake of total valid votes for seat of Pontian (claiming it is 33146). EC has a contradictory Rejected Vote values for 190 and 193 for seat of Tawau. EC has an errorneous total ballots issued for Padawan (claiming it is 15968). EC has contradictory information on who lost deposits. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives",
,,
Parliamentary Constituency Spelling Discrepancy for Peninsular Malaysia (applicable for all constituencies from 1974 to 1984),,
EC Map 1974,EC 1974 Redelineation Report,Government Gazette of 17th August 1978
KULIM-BANDAR BAHARU,KULIM-BANDAR BAHARU,KULIM-BANDAR BAHRU
KOTA BAHARU,KOTA BHARU,KOTA BHARU
KUALA KERAI,KUALA KRAI,KUALA KRAI
KELUANG,KLUANG,KLUANG
,,
Parliamentary Candidates where sex category require more verification,,
Parliamentary Constituency Seat,Party,Candidate
Bukit Mas,PBB,Racha Umong
Attribute,,
,,
FIELD NAME,FIELD DESCRIPTION,
UNIQUE CODE,"Unique Identifier. For this case, it is the Parliamentary Code",
STATE,State Name,
PARLIAMENTARY CONSTITUENCY CODE,"Parliamentary Constituency Code (for Peninsular Malaysia and Sabah, 1974 - 1984, for Sarawak 1977 - 19787)",
PARLIAMENTARY CONSTITUENCY NAME,"Parliamentary Constituency Name (for Peninsular Malaysia and Sabah, 1974 - 1984, for Sarawak 1977 - 1987)",
WINNING PARTY,Party/Coalition (with Component Party) who won the seat,
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank",
TOTAL ELECTORATE,"Total Elector count using 1978 Elections Electoral Roll which is based on Electoral Roll that was certified on 13th April 1978 and for Kelantan, based on certified electoral roll of 11th May 1978",
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes,
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate,
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll (or Total Voted),
TOTAL REJECTED VOTES,Total number of rejected ballot papers,
TOTAL VALID VOTES,Total number of votes by electors,
BN,Barisan Nasional (BN) Component Party,
BN CANDIDATE,Barisan Nasional Candidate Name as per the Government Gazette,
BN CANDIDATE SEX,Male/Female Classification,
BN CANDIDATE AGE,Age of Barisan Nasional Candidate,
BN VOTE,Barisan Nasional Valid Vote for the Candidate,
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
DAP,Democratic Action Party (DAP) Name,
DAP CANDIDATE,DAP Candidate Name as per the Government Gazette,
DAP CANDIDATE SEX,Male/Female Classification,
DAP CANDIDATE AGE,Age of Party Candidate,
DAP VOTE,Party Valid Vote for the DAP Candidate,
DAP CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
PAS,Parti Islam Se-Malaysia (PAS),
PAS CANDIDATE,PAS Candidate Name as per the Government Gazette,
PAS CANDIDATE SEX,Male/Female Classification,
PAS CANDIDATE AGE,Age of PAS Candidate,
PAS VOTE,PAS Valid Vote for the Candidate,
PAS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (1),Other Party,
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name as per the Government Gazette,
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (1) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (2),Other Party,
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name as per the Government Gazette,
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (2) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (1),Independent with Symbol,
INDEPENDENT (1) CANDIDATE,Independent Candidate Name as per the Government Gazette,
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (2),Independent with Symbol,
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette,
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (3),Independent with Symbol,
INDEPENDENT (3) CANDIDATE,Independent Candidate Name as per the Government Gazette,
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
,,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,,
UMNO,United Malays National Organisation,
MCA,Malaysian Chinese Association,
MIC,Malaysian Indian Congress,
GERAKAN,Parti Gerakan Rakyat Malaysia,
PPP,People's Progressive Party,
USNO,United Sabah National Organisation,
BERJAYA,Parti Bersatu Rakyat Jelata Sabah,
PBB,Parti Pesaka Bumiputera Bersatu,
SNAP,Sarawak National Party,
SUPP,Sarawak United People's Party,
PSRM,Parti Sosialis Rakyat Malaysia,
PEKEMAS,Parti Keadilan Masyarakat Malaysia,
KITA,Kesatuan Insaf Tanah Air,
PP,Parti Pekerja,
SDP,Socialist Democratic Party,
SCA,Sabah Chinese Association,
SEDAR,Sabah Demokratik Rakyat Parti,
SAPO,Sarawak People Organization,
PNRS,Parti Negara Rakyat Sarawak,
PAJAR,Parti Anak Jati Sarawak,
PUSAKA,Parti Perhimpunan Sosial Bersatu,
UMAT,Parti Umat Sarawak,
