UNIQUE CODE (2019),STATE (2019),PARLIAMENT CONSTITUENCY CODE (2019),PARLIAMENT CONSTITUENCY NAME (2019),STATE CONSTITUENCY CODE (2019),STATE CONSTITUENCY NAME (2019),AREA (SQ KM),NOTES
P.167_N. 01,SABAH,P.167,KUDAT,N. 01,BANGGI,621,AS per 2019 Gazetted Redelineation
P.167_N. 02,SABAH,P.167,KUDAT,N. 02,BENGKOKA,1011,AS per 2019 Gazetted Redelineation
P.167_N. 03,SABAH,P.167,KUDAT,N. 03,PITAS,454,AS per 2019 Gazetted Redelineation
P.167_N. 04,SABAH,P.167,KUDAT,N. 04,TANJONG KAPOR,214,AS per 2019 Gazetted Redelineation
P.168_N. 05,SABAH,P.168,KOTA MARUDU,N. 05,MATUNGGONG,534,AS per 2019 Gazetted Redelineation
P.168_N. 06,SABAH,P.168,KOTA MARUDU,N. 06,BANDAU,756,AS per 2019 Gazetted Redelineation
P.168_N. 07,SABAH,P.168,KOTA MARUDU,N. 07,TANDEK,992,AS per 2019 Gazetted Redelineation
P.169_N. 08,SABAH,P.169,KOTA BELUD,N. 08,PINTASAN,300,AS per 2019 Gazetted Redelineation
P.169_N. 09,SABAH,P.169,KOTA BELUD,N. 09,TEMPASUK,159,AS per 2019 Gazetted Redelineation
P.169_N. 10,SABAH,P.169,KOTA BELUD,N. 10,USUKAN,95,AS per 2019 Gazetted Redelineation
P.169_N. 11,SABAH,P.169,KOTA BELUD,N. 11,KADAMAIAN,818,AS per 2019 Gazetted Redelineation
P. 170_N. 12,SABAH,P. 170,TUARAN,N. 12,SULAMAN,113,AS per 2019 Gazetted Redelineation
P. 170_N. 13,SABAH,P. 170,TUARAN,N. 13,PANTAI DALIT,48,AS per 2019 Gazetted Redelineation
P. 170_N. 14,SABAH,P. 170,TUARAN,N. 14,TAMPARULI,289,AS per 2019 Gazetted Redelineation
P. 170_N. 15,SABAH,P. 170,TUARAN,N. 15,KIULU,676,AS per 2019 Gazetted Redelineation
P. 171_N. 16,SABAH,P. 171,SEPANGGAR,N. 16,KARAMBUNAI,88,AS per 2019 Gazetted Redelineation
P. 171_N. 17,SABAH,P. 171,SEPANGGAR,N. 17,DARAU,14,AS per 2019 Gazetted Redelineation
P. 171_N. 18,SABAH,P. 171,SEPANGGAR,N. 18,INANAM,215,AS per 2019 Gazetted Redelineation
P. 172_N. 19,SABAH,P. 172,KOTA KINABALU,N. 19,LIKAS,12,AS per 2019 Gazetted Redelineation
P. 172_N. 20,SABAH,P. 172,KOTA KINABALU,N. 20,API-API,4,AS per 2019 Gazetted Redelineation
P. 172_N. 21,SABAH,P. 172,KOTA KINABALU,N. 21,LUYANG,10,AS per 2019 Gazetted Redelineation
P. 173_N. 22,SABAH,P. 173,PUTATAN,N. 22,TANJUNG ARU,30,AS per 2019 Gazetted Redelineation
P. 173_N. 23,SABAH,P. 173,PUTATAN,N. 23,PETAGAS,15,AS per 2019 Gazetted Redelineation
P. 173_N. 24,SABAH,P. 173,PUTATAN,N. 24,TANJUNG KERAMAT,13,AS per 2019 Gazetted Redelineation
P. 174_N. 25,SABAH,P. 174,PENAMAPANG,N. 25,KAPAYAN,19,AS per 2019 Gazetted Redelineation
P. 174_N. 26,SABAH,P. 174,PENAMAPANG,N. 26,MOYOG,473,AS per 2019 Gazetted Redelineation
P. 175_N. 27,SABAH,P. 175,PAPAR,N. 27,LIMBAHAU,512,AS per 2019 Gazetted Redelineation
P. 175_N. 28,SABAH,P. 175,PAPAR,N. 28,KAWANG,55,AS per 2019 Gazetted Redelineation
P. 175_N. 29,SABAH,P. 175,PAPAR,N. 29,PANTAI MANIS,43,AS per 2019 Gazetted Redelineation
P. 176_N. 30,SABAH,P. 176,KIMANIS,N. 30,BONGAWAN,657,AS per 2019 Gazetted Redelineation
P. 176_N. 31,SABAH,P. 176,KIMANIS,N. 31,MEMBAKUT,292,AS per 2019 Gazetted Redelineation
P. 177_N. 32,SABAH,P. 177,BEAUFORT,N. 32,KLIAS,423,AS per 2019 Gazetted Redelineation
P. 177_N. 33,SABAH,P. 177,BEAUFORT,N. 33,KUALA PENYU,448,AS per 2019 Gazetted Redelineation
P. 178_N. 34,SABAH,P. 178,SIPITANG,N. 34,LUMADAN,1007,AS per 2019 Gazetted Redelineation
P. 178_N. 35,SABAH,P. 178,SIPITANG,N. 35,SINDUMIN,2708,AS per 2019 Gazetted Redelineation
P. 179_N. 36,SABAH,P. 179,RANAU,N. 36,KUNDASANG,1836,AS per 2019 Gazetted Redelineation
P. 179_N. 37,SABAH,P. 179,RANAU,N. 37,KARANAAN,185,AS per 2019 Gazetted Redelineation
P. 179_N. 38,SABAH,P. 179,RANAU,N. 38,PAGINATAN,1870,AS per 2019 Gazetted Redelineation
P. 180_N. 39,SABAH,P. 180,KENINGAU,N. 39,TAMBUNAN,1414,AS per 2019 Gazetted Redelineation
P. 180_N. 40,SABAH,P. 180,KENINGAU,N. 40,BINGKOR,397,AS per 2019 Gazetted Redelineation
P. 180_N. 41,SABAH,P. 180,KENINGAU,N. 41,LIAWAN,420,AS per 2019 Gazetted Redelineation
P. 181_N. 42,SABAH,P. 181,TENOM,N. 42,MELALAP,638,AS per 2019 Gazetted Redelineation
P. 181_N. 43,SABAH,P. 181,TENOM,N. 43,KEMABONG,1819,AS per 2019 Gazetted Redelineation
P. 182_N. 44,SABAH,P. 182,PENSIANGAN,N. 44,TULID,1250,AS per 2019 Gazetted Redelineation
P. 182_N. 45,SABAH,P. 182,PENSIANGAN,N. 45,SOOK,1533,AS per 2019 Gazetted Redelineation
P. 182_N. 46,SABAH,P. 182,PENSIANGAN,N. 46,NABAWAN,6114,AS per 2019 Gazetted Redelineation
P. 183_N. 47,SABAH,P. 183,BELURAN,N. 47,TELUPID,2197,AS per 2019 Gazetted Redelineation
P. 183_N. 48,SABAH,P. 183,BELURAN,N. 48,SUGUT,3844,AS per 2019 Gazetted Redelineation
P. 183_N. 49,SABAH,P. 183,BELURAN,N. 49,LABUK,1407,AS per 2019 Gazetted Redelineation
