UNIQUE CODE (2018),PARLIAMENTARY CONSTITUENCY CODE (2018),PARLIAMENTARY CONSTITUENCY NAME (2018),STATE CONSTITUENCY CODE (2018),STATE CONSTITUENCY NAME (2018),UNIQUE CODE (2019),PARLIAMENTARY CODE (2019),PARLIAMENTARY NAME (2019),STATE CONSTITUENCY CODE (2019),STATE CONSTITUENCY NAME (2019),DUN NAME CHANGE,NEW DUN SEAT,NOTES
P. 167_N. 01,P. 167,KUDAT,N. 01,BANGGI,P. 167_N. 01,P. 167,KUDAT,N. 01,BANGGI,,,Boundaries were changed
,,,,,P. 167_N. 02,P. 167,KUDAT,N. 02,BENGKOKA,,YES,Constituency formed from Banggi and Pitas
P. 167_N. 02,P. 167,KUDAT,N. 02,,P. 167_N. 04,P. 167,KUDAT,N. 04,TANJONG KAPOR,,,
P. 167_N. 03,P. 167,KUDAT,N. 03,PITAS,P. 167_N. 03,P. 167,KUDAT,N. 03,PITAS,,,Boundaries were changed
P. 168_N. 04,P. 168,KOTA MARUDU,N. 04,MATUNGGONG,P. 168_N. 05,P. 168,KOTA MARUDU,N. 05,MATUNGGONG,,,Boundaries were changed
,,,,,P. 168_N. 06,P. 168,KOTA MARUDU,N. 06,BANDAU,,YES,Constituency formed from Matunggong and Tandek
P. 168_N. 05,P. 168,KOTA MARUDU,N. 05,TANDEK,P. 168_N. 07,P. 168,KOTA MARUDU,N. 07,TANDEK,,,Boundaries were changed
P. 169_N. 06,P. 169,KOTA BELUD,N. 06,TEMPASUK,P. 169_N. 09,P. 169,KOTA BELUD,N. 09,TEMPASUK,,,Boundaries were changed
P. 169_N. 07,P. 169,KOTA BELUD,N. 07,KADAMAIAN,P. 169_N. 11,P. 169,KOTA BELUD,N. 11,KADAMAIAN,,,
,,,,,P. 169_N. 08,P. 169,KOTA BELUD,N. 08,PINTASAN,,YES,Constituency formed from Tempasuk and Usukan
P. 169_N. 08,P. 169,KOTA BELUD,N. 08,USUKAN,P. 169_N. 10,P. 169,KOTA BELUD,N. 10,USUKAN,,,Boundaries were changed
P. 170_N. 09,P. 170,TUARAN,N. 09,TAMPARULI,P. 170_N. 14,P. 170,TUARAN,N. 14,TAMPARULI,,,Boundaries were changed
P. 170_N. 10,P. 170,TUARAN,N. 10,SULAMAN,P. 170_N. 12,P. 170,TUARAN,N. 12,SULAMAN,,,Boundaries were changed
,,,,,P. 170_N. 13,P. 170,TUARAN,N. 13,PANTAI DALIT,,YES,Constituency formed from Tamparuli and Sulaman
P. 170_N. 11,P. 170,TUARAN,N. 11,KIULU,P. 170_N. 15,P. 170,TUARAN,N. 15,KIULU,,,
P. 171_N. 12,P. 171,SEPANGGAR,N. 12,KARAMBUNAI,P. 171_N. 16,P. 171,SEPANGGAR,N. 16,KARAMBUNAI,,,Boundaries were changed
,,,,,P. 171_N. 17,P. 171,SEPANGGAR,N. 17,DARAU,,YES,Constituency formed from Karambunai
