Created on,"11/7/2022, updated on 8/5/2023"
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Tindak Malaysia (2022), Attorney General Chambers, Sinar Harian, Berita Harian, Sinar Project,Individual Political Party Facebook Pages"
Disclaimers,"There may be discrepancies for the age of candidates as there is no official data released for the attribute.There are many missing data points for age attribute for candidates. TindakMalaysia Network Services PLT is not responsible  for any errors or ommissions arising from the original data or its derivatives. While there is an informal alliance of Gabungan Rakyat Sabah (GRS) formed for the election period (BN - PN - PBS), due to internal competition of GRS candidate, separate columns for BN, PN and PBS were created. Warisan Plus is an informal alliance"
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier)
STATE,State Name
PARLIAMENTARY CODE,Parliamentary Code (2019 - present at the Created Date)
PARLIAMENTARY NAME,Parliamentary Name (2019 - present at the Created Date)
STATE CONSTITUENCY CODE,State Constituency (DUN) Code (2019 - present at the Created Date)
STATE CONSTITUENCY NAME,State Constituency (DUN) Name (2019 - present at the created Date)
WINNING PARTY (2020),Party/Coalition (with Component Party) who won the sea
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Electors of Principal Electoral Roll of 2019 which was combined with 1st Quarter of 2020 electoral roll (which was certified on 12th August 2020)
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll (as in A in all Form 14 + A in Form 15)
TOTAL UNRETURNED BALLOTS,Total number of ballot papers issued but not put in the ballot box (as in D in all Form 14) and not returned (as in D in Form 15) (B-C-D)
TOTAL REJECTED VOTES,Total number of rejected ballot papers (as in C in all Form 14 + C in Form 15)
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name as per the Government Gazette (Form 8)
BN CANDIDATE GENDER,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN CANDIDATE VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PN,Perikatan Nasional (PN) Component Party
PN CANDIDATE,Perikatan Nasional Candidate Name as per the Government Gazette (Form 8)
PN CANDIDATE GENDER,Male/Female Classification
PN CANDIDATE AGE,Age of Perikatan Nasional Candidate
PN CANDIDATE VOTE,Perikatan Nasional Valid Vote for the Candidate
PN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
WARISAN PLUS,Warisan Plus Component Party
WARISAN PLUS CANDIDATE,Warisan Plus Candidate Name as per the Government Gazette (Form 8)
WARISAN PLUS CANDIDATE GENDER,Male/Female Classification
WARISAN PLUS CANDIDATE AGE,Age of Warisan Plus Candidate
WARISAN PLUS CANDIDATE VOTE,Warisan Plus Valid Vote for the Candidate
WARISAN PLUS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PBS,Parti Bersatu Sabah
PBS CANDIDATE,Parti Bersatu Sabah Candidate Name as per the Government Gazette (Form 8)
PBS CANDIDATE GENDER,Male/Female Classification
PBS CANDIDATE AGE,Age of Parti Bersatu Sabah Candidate
PBS CANDIDATE VOTE,Parti Bersatu Sabah Valid Vote for the Candidate
PBS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PCS,Parti Cinta Sabah
PCS CANDIDATE,Parti Cinta Sabah Candidate Name as per the Government Gazette (Form 8)
PCS CANDIDATE GENDER,Male/Female Classification
PCS CANDIDATE AGE,Age of Parti Cinta Sabah Candidate
PCS CANDIDATE VOTE,Parti Cinta Sabah Valid Vote for the Candidate
PCS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
LDP,Liberal Democratic Party
LDP CANDIDATE,Liberal Democratic Party Candidate Name as per the Government Gazette (Form 8)
LDP CANDIDATE GENDER,Male/Female Classification
LDP CANDIDATE AGE,Age of Liberal Democratic Party Candidate
LDP CANDIDATE VOTE,Liberal Democratic Party Valid Vote for the Candidate
LDP CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PGRS,Parti Gagasan Rakyat Sabah (PGRS)
PGRS CANDIDATE,Parti Gagasan Rakyat Sabah Candidate Name as per the Government Gazette (Form 8)
PGRS CANDIDATE GENDER,Male/Female Classification
PGRS CANDIDATE AGE,Age of Parti Gagasan Rakyat Sabah Candidate
PGRS CANDIDATE VOTE,Parti Gagasan Rakyat Sabah Valid Vote for the Candidate
PGRS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
USNO,United Sabah National Organisation (New)
USNO CANDIDATE,United Sabah National Organisation (New) Candidate Name as per the Government Gazette (Form 8)
USNO CANDIDATE GENDER,Male/Female Classification
USNO CANDIDATE AGE,Age of United Sabah National Organisation (New) Candidate
USNO CANDIDATE VOTE,United Sabah National Organisation (New) Valid Vote for the Candidate
USNO CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (1),Other Party Name
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (1) CANDIDATE GENDER,Male/Female Classification
