UNIQUE CODE (1974),STATE (1974),PARLIAMENTARY CONSTITUENCY CODE (1974),PARLIAMENTARY CONSTITUENCY NAME (1974),STATE CONSTITUENCY CODE (1974),STATE CONSTITUENCY NAME (1974),UNIQUE CODE (1977),PARLIAMENTARY CONSTITUENCY CODE (1977),PARLIAMENTARY CONSTITUENCY NAME (1977),STATE CONSTITUENCY CODE (1977),STATE CONSTITUENCY NAME (1977),DUN NAME CHANGE,NOTES
P.131_N.1,SARAWAK,P.131,BAU - LUNDU,N.1,LUNDU,P.131_N. 1,P.131,MAS GADING,N. 1,LUNDU,,Boundary Changed
P.131_N.2,SARAWAK,P.131,BAU - LUNDU,N.2,BAU,P.131_N. 2,P.131,MAS GADING,N. 2,TASIK BIRU,YES,
P.132_N.3,SARAWAK,P.132,BANDAR KUCHING,N.3,KUCHING BARAT,P.133_N. 6,P.133,SANTUBONG,N. 6,SATOK,YES,Kuching Barat was renamed and moved to Parliamentary Constituency of Santubong
P.132_N.4,SARAWAK,P.132,BANDAR KUCHING,N.4,KUCHING TIMOR,P.132_N. 3,P.132,BANDAR KUCHING,N. 3,PADUNGAN,YES,Boundary changed
P.133_N.5,SARAWAK,P.133,SANTUBONG,N.5,SEMARIANG,P.133_N. 5,P.133,SANTUBONG,N. 5,PETRA JAYA,YES,
P.133_N.6,SARAWAK,P.133,SANTUBONG,N.6,SEKAMA,P.132_N. 4,P.132,BANDAR KUCHING,N. 4,STAMPIN,YES,Sekama was renamed and moved to Parliamentary Constituency of Bandar Kuching. Boundary changed
P.134_N.7,SARAWAK,P.134,SAMARAHAN,N.7,SEBANDI,P.134_N. 7,P.134,SAMARAHAN,N. 7,SEBANDI,,Boundary changed
P.134_N.8,SARAWAK,P.134,SAMARAHAN,N.8,MUARA TUANG,P.134_N. 8,P.134,SAMARAHAN,N. 8,MUARA TUANG,,Boundary changed
P.135_N.9,SARAWAK,P.135,PADAWAN,N.9,BATU KAWAH,P.135_N. 9,P.135,PADAWAN,N. 9,BATU KAWAH,,
P.135_N.10,SARAWAK,P.135,PADAWAN,N.10,BENGOH,P.135_N. 10,P.135,PADAWAN,N. 10,BENGOH,,Boundary changed
P.136_N.11,SARAWAK,P.136,SERIAN,N.11,TARAT,P.136_N. 11,P.136,SERIAN,N. 11,TARAT,,Boundary changed
P.136_N.12,SARAWAK,P.136,SERIAN,N.12,TEBAKANG,P.136_N. 12,P.136,SERIAN,N. 12,TEBAKANG,,Boundary changed
P.137_N.13,SARAWAK,P.137,SIMUNJAN,N.13,SEMERA,P.137_N. 13,P.137,SIMUNJAN,N. 13,SEMERA,,
P.137_N.14,SARAWAK,P.137,SIMUNJAN,N.14,GEDONG,P.137_N. 14,P.137,SIMUNJAN,N. 14,GEDONG,,Boundary Changed
P.138_N.15,SARAWAK,P.138,BATANG LUPAR,N.15,LINGGA - SEBUYAU,P.138_N. 15,P.138,BATANG LUPAR,N. 15,LINGGA,YES,
P.138_N.16,SARAWAK,P.138,BATANG LUPAR,N.16,SIMANGGANG,P.138_N. 16,P.138,BATANG LUPAR,N. 16,SRI AMAN,YES,
P.139_N.17,SARAWAK,P.139,LUBOK ANTU,N.17,ENGKILILI,P.139_N. 17,P.139,LUBOK ANTU,N. 17,ENGKILILI,YES,
P.139_N.18,SARAWAK,P.139,LUBOK ANTU,N.18,ULU AI,P.139_N. 18,P.139,LUBOK ANTU,N. 18,BATANG AIR,YES,
P.140_N.19,SARAWAK,P.140,BETONG,N.19,SARIBAS,P.140_N. 19,P.140,BETONG,N. 19,SARIBAS,,
P.140_N.20,SARAWAK,P.140,BETONG,N.20,LAYAR,P.140_N. 20,P.140,BETONG,N. 20,LAYAR,,
P.141_N.21,SARAWAK,P.141,SARATOK,N.21,KALAKA,P.141_N. 21,P.141,SARATOK,N. 21,KALAKA,,
P.141_N.22,SARAWAK,P.141,SARATOK,N.22,KRIAN,P.141_N. 22,P.141,SARATOK,N. 22,KRIAN,,
P.142_N.23,SARAWAK,P.142,SARIKEI,N.23,KUALA RAJANG,P.142_N. 23,P.142,PALOH,N. 23,KUALA RAJANG,,Kuala Rajang moved from Sarikei to Paloh parliamentary constituency. Boundary changed
P.142_N.24,SARAWAK,P.142,SARIKEI,N.24,REPOK,P.143_N. 25,P.143,SARIKEI,N. 25,REPOK,,
P.143_N.25,SARAWAK,P.143,PAYANG,N.25,MATU-DARO,P.142_N. 24,P.142,PALOH,N. 24,MATU - DARO,,Boundary changed
P.143_N.26,SARAWAK,P.143,PAYANG,N.26,BINATANG,P.143_N. 26,P.143,SARIKEI,N. 26,MERADONG,YES,Binatang was renamed and moved from former Payang to Sarikei parliamentary constituency. Boundary changed
P.144_N.27,SARAWAK,P.144,BANDAR SIBU,N.27,SIBU TENGAH,P.144_N. 27,P.144,SIBU,N. 27,MALING,YES,Boundary changed
P.144_N.28,SARAWAK,P.144,BANDAR SIBU,N.28,SIBU LUAR,P.144_N. 28,P.144,SIBU,N. 28,SEDUAN,YES,Boundary changed
P.145_N.29,SARAWAK,P.145,RAJANG,N.29,IGAN,P.145_N. 29,P.145,RAJANG,N. 29,IGAN,,Boundary changed
P.145_N.30,SARAWAK,P.145,RAJANG,N.30,DUDONG,P.145_N. 30,P.145,RAJANG,N. 30,DUDONG,,Boundary changed
P.146_N.31,SARAWAK,P.146,MUKAH,N.31,BALINGIAN,P.146_N. 31,P.146,MUKAH,N. 31,BALINGIAN,,Boundary changed
P.146_N.32,SARAWAK,P.146,MUKAH,N.32,OYA,P.146_N. 32,P.146,MUKAH,N. 32,OYA,,Boundary changed
P.147_N.33,SARAWAK,P.147,JULAU,N.33,PAKAN,P.147_N. 33,P.147,JULAU,N. 33,PAKAN,,
P.147_N.34,SARAWAK,P.147,JULAU,N.34,MELUAN,P.147_N. 34,P.147,JULAU,N. 34,MELUAN,,
P.148_N.35,SARAWAK,P.148,KANOWIT,N.35,MACHAN,P.148_N. 35,P.148,KANOWIT,N. 35,MACHAN,,
P.148_N.36,SARAWAK,P.148,KANOWIT,N.36,NGEMAH,P.148_N. 36,P.148,KANOWIT,N. 36,NGEMAH,,
P.149_N.37,SARAWAK,P.149,KAPIT,N.37,SONG,P.149_N. 37,P.149,KAPIT,N. 37,KATIBAS,YES,Boundary changed
P.149_N.38,SARAWAK,P.149,KAPIT,N.38,PELAGUS,P.149_N. 38,P.149,KAPIT,N. 38,PELAGUS,,Boundary changed
P.150_N.39,SARAWAK,P.150,ULU RAJANG,N.39,BALEH,P.150_N. 39,P.150,ULU RAJANG,N. 39,BALEH,,
P.150_N.40,SARAWAK,P.150,ULU RAJANG,N.40,BELAGA,P.150_N. 40,P.150,ULU RAJANG,N. 40,BELAGA,,
P.151_N.41,SARAWAK,P.151,BINTULU,N.41,TATAU,P.151_N. 41,P.151,BINTULU,N. 41,TATAU,,Boundary changed
P.151_N.42,SARAWAK,P.151,BINTULU,N.42,KEMENA,P.151_N. 42,P.151,BINTULU,N. 42,KEMENA,,Boundary changed
P.152_N.43,SARAWAK,P.152,MIRI - SUBIS,N.43,SUBIS,P.152_N. 43,P.152,LAMBIR,N. 43,SUBIS,,
