UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
P.011_N.18,KEDAH,P.011,PENDANG,N.18,TOKAI,45374,91.58,7.69,0.25,0.01,0.05,0.04,0.38,99.60,0.00,0.40,0.00,5.9,19.7,21.5,18.2,14.8,11.2,6.2,2.2,0.3,48.3,51.7,SEMI URBAN
P.011_N.19,KEDAH,P.011,PENDANG,N.19,SUNGAI TIANG,49414,85.68,1.93,0.76,0.01,0.03,0.01,11.57,99.93,0.00,0.06,0.00,6,21.4,22.2,17.6,14.8,10.6,5.2,2,0.3,48.8,51.2,RURAL
P.012_N.20,KEDAH,P.012,JERAI,N.20,SUNGAI LIMAU,34283,94.08,5.61,0.07,0.00,0.04,0.01,0.20,99.99,0.01,0.00,0.00,5.2,18.4,20.5,18.9,16.6,11.6,6.1,2.3,0.3,48.5,51.5,RURAL
P.012_N.21,KEDAH,P.012,JERAI,N.21,GUAR CHEMPEDAK,30085,89.83,9.14,0.69,0.01,0.08,0.03,0.22,99.37,0.02,0.61,0.00,6.2,22.4,21.6,16.7,14.6,11,5.4,1.8,0.4,49.3,50.7,SEMI URBAN
P.012_N.22,KEDAH,P.012,JERAI,N.22,GURUN,40941,62.67,21.61,14.79,0.03,0.08,0.05,0.77,99.69,0.00,0.18,0.13,7.1,22.6,20.8,17.3,14.2,10.4,5.4,1.8,0.4,49.8,50.2,SEMI URBAN
P.013_N.23,KEDAH,P.013,SIK,N.23,BELANTEK,28165,93.03,1.63,0.20,0.02,0.17,0.04,4.92,99.44,0.00,0.56,0.00,6,21.2,22.8,18,14.7,10.2,4.9,1.9,0.3,49.3,50.7,RURAL
P.013_N.24,KEDAH,P.013,SIK,N.24,JENERI,35097,92.16,1.29,0.12,0.02,0.03,0.03,6.34,99.95,0.01,0.04,0.00,6,20.8,23.4,19.1,13.5,9.9,5.3,1.6,0.2,49.3,50.7,RURAL
P.014_N.25,KEDAH,P.014,MERBOK,N.25,BUKIT SELAMBAU,79518,61.36,17.42,20.08,0.02,0.15,0.09,0.88,99.39,0.03,0.58,0.00,8.2,26.2,21.7,15.6,13,10.2,3.9,0.9,0.2,49.1,50.9,URBAN
P.014_N.26,KEDAH,P.014,MERBOK,N.26,TANJONG DAWAI,54629,81.20,11.69,5.69,0.08,0.34,0.55,0.45,91.23,0.01,0.06,8.70,6.3,23,24.4,18.2,12.9,8.9,4.7,1.4,0.2,50.6,49.4,SEMI URBAN
P.015_N.27,KEDAH,P.015,SUNGAI PETANI,N.27,PANTAI MERDEKA,51502,91.11,6.05,2.37,0.02,0.07,0.05,0.34,99.93,0.01,0.06,0.00,7.3,25.3,21.1,15.9,14.8,9.8,4.3,1.4,0.2,49.2,50.8,SEMI URBAN
P.015_N.28,KEDAH,P.015,SUNGAI PETANI,N.28,BAKAR ARANG,57867,47.58,36.99,14.64,0.01,0.08,0.04,0.64,99.71,0.03,0.26,0.00,5.7,22.4,22.2,16.1,14,12.1,5.5,1.6,0.4,48.7,51.3,URBAN
P.015_N.29,KEDAH,P.015,SUNGAI PETANI,N.29,SIDAM,60983,49.29,30.81,18.70,0.02,0.12,0.06,0.99,99.99,0.01,0.00,0.00,8.7,24.7,19.5,16.4,14.1,10.2,4.7,1.5,0.3,48.9,51.1,URBAN
P.016_N.30,KEDAH,P.016,BALING,N.30,BAYU,47613,92.97,3.58,0.66,0.39,0.11,0.07,2.22,99.39,0.00,0.61,0.00,5.8,21,22.3,17.9,14.8,10.5,5.3,2,0.3,49.1,50.9,SEMI URBAN
P.016_N.31,KEDAH,P.016,BALING,N.31,KUPANG,42720,92.33,3.36,2.50,0.01,0.06,0.04,1.69,99.94,0.00,0.06,0.00,6.1,22,22.8,17.8,14,10.4,4.9,1.6,0.3,49,51,SEMI URBAN
P.016_N.32,KEDAH,P.016,BALING,N.32,KUALA KETIL,42184,82.35,5.68,11.08,0.01,0.09,0.03,0.75,99.90,0.01,0.09,0.00,6.4,22.6,22.4,17.4,14.6,9.9,4.6,1.7,0.4,48.8,51.2,RURAL
P.017_N.33,KEDAH,P.017,PADANG SERAI,N.33,MERBAU PULAS,53323,76.68,6.74,15.89,0.00,0.09,0.10,0.50,99.88,0.01,0.11,0.00,9.1,26.3,19.4,16.7,14.1,8.9,4,1.2,0.2,48.7,51.3,SEMI URBAN
P.017_N.34,KEDAH,P.017,PADANG SERAI,N.34,LUNAS,82212,53.69,24.29,21.30,0.01,0.07,0.06,0.59,99.96,0.01,0.03,0.00,8.6,26.7,20.8,15.8,13.5,9.4,3.8,1.2,0.2,49.2,50.8,URBAN
P.018_N.35,KEDAH,P.018,KULIM-BANDAR BAHARU,N.35,KULIM,54169,63.40,19.40,16.51,0.02,0.14,0.08,0.45,97.56,0.01,2.43,0.00,6.2,22.5,22.6,16.6,14.2,11,4.9,1.5,0.4,49.5,50.5,URBAN
P.018_N.36,KEDAH,P.018,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,36164,79.98,13.30,6.36,0.02,0.09,0.06,0.20,99.44,0.00,0.55,0.00,5.8,20.7,21.2,18.1,15.1,10.9,5.8,2.2,0.3,49.4,50.6,RURAL
P.019_N.01,KELANTAN,P.019,TUMPAT,N.01,PENGKALAN KUBOR,36492,92.54,0.90,0.09,0.02,0.04,0.03,6.38,99.70,0.00,0.30,0.00,6.5,21.5,22.8,17.1,13.9,10.1,5.1,2.1,0.9,51.2,48.8,SEMI URBAN
P.019_N.02,KELANTAN,P.019,TUMPAT,N.02,KELABORAN,38198,92.48,1.95,0.26,0.03,0.06,0.04,5.17,99.39,0.00,0.61,0.00,6.5,22.9,24.3,16.8,13.5,9.8,4.4,1.4,0.5,50.2,49.8,SEMI URBAN
P.019_N.03,KELANTAN,P.019,TUMPAT,N.03,PASIR PEKAN,39119,97.07,2.40,0.10,0.01,0.04,0.02,0.36,99.94,0.03,0.03,0.00,7.2,24.6,24.8,16.9,12.2,8.8,4.1,1.2,0.2,49.3,50.7,URBAN
P.019_N.04,KELANTAN,P.019,TUMPAT,N.04,WAKAF BHARU,36439,86.78,9.51,0.10,0.02,0.03,0.03,3.54,99.88,0.01,0.11,0.00,7,22.5,23.2,16.9,13.7,10,4.9,1.6,0.3,49.3,50.7,SEMI URBAN
P.020_N.05,KELANTAN,P.020,PENGKALAN CHEPA,N.05,KIJANG,30405,95.34,2.53,0.07,0.01,0.05,0.02,1.99,99.94,0.01,0.06,0.00,7.1,24.1,24.4,18.2,12.6,8.4,3.9,1.1,0.3,49.2,50.8,SEMI URBAN
P.020_N.06,KELANTAN,P.020,PENGKALAN CHEPA,N.06,CHEMPAKA,34641,98.60,0.76,0.06,0.01,0.10,0.08,0.38,95.69,0.02,0.00,4.30,7.1,24.8,26.5,17.1,11.7,8,3.6,0.9,0.2,50.1,49.9,URBAN
P.020_N.07,KELANTAN,P.020,PENGKALAN CHEPA,N.07,PANCHOR,42768,96.73,2.21,0.22,0.05,0.16,0.09,0.55,97.11,0.03,2.86,0.00,8.3,27,26.2,15.5,11,7.9,3.3,0.8,0.2,49.4,50.6,URBAN
P.021_N.08,KELANTAN,P.021,KOTA BHARU,N.08,TANJONG MAS,45579,90.36,7.70,0.43,0.03,0.06,0.03,1.41,99.98,0.02,0.00,0.00,6.4,24.7,27.4,16.4,11.4,8.7,3.9,0.9,0.2,49.4,50.6,URBAN
P.021_N.09,KELANTAN,P.021,KOTA BHARU,N.09,KOTA LAMA,33043,66.18,30.99,1.51,0.01,0.11,0.07,1.13,97.25,0.01,2.74,0.00,3.6,13.2,18.8,17.7,17.1,16.3,9.3,3,0.9,49.6,50.4,URBAN
P.021_N.10,KELANTAN,P.021,KOTA BHARU,N.10,BUNUT PAYONG,36844,93.77,5.17,0.46,0.01,0.04,0.03,0.52,99.97,0.03,0.00,0.00,5.6,21.6,24.4,17.4,13.6,10.4,5.3,1.5,0.3,49,51,URBAN
P.022_N.11,KELANTAN,P.022,PASIR MAS,N.11,TENDONG,31768,97.83,1.60,0.03,0.02,0.04,0.01,0.47,99.96,0.00,0.04,0.00,6.7,22.7,23.6,16.8,13.5,9.6,5.1,1.7,0.4,49.3,50.7,SEMI URBAN
P.022_N.12,KELANTAN,P.022,PASIR MAS,N.12,PENGKALAN PASIR,33007,95.30,3.95,0.12,0.01,0.06,0.02,0.54,99.76,0.00,0.24,0.00,6,21.1,23.9,17.6,13.6,10.6,5.2,1.7,0.4,49.2,50.8,SEMI URBAN
P.022_N.13,KELANTAN,P.022,PASIR MAS,N.13,MERANTI,29980,98.94,0.11,0.03,0.02,0.04,0.01,0.85,99.87,0.01,0.12,0.00,6.6,22.8,23.4,16.5,13.4,9.4,5.2,1.9,0.8,49.6,50.4,RURAL
P.023_N.14,KELANTAN,P.023,RANTAU PANJANG,N.14,CHETOK,29111,95.06,4.47,0.04,0.01,0.04,0.03,0.34,99.99,0.01,0.00,0.00,6.5,21.8,23.5,17.1,13.5,10.3,5.1,1.7,0.4,48.7,51.3,SEMI URBAN
P.023_N.15,KELANTAN,P.023,RANTAU PANJANG,N.15,GUAL PERIOK,36081,96.98,1.17,0.09,0.02,0.06,0.02,1.66,99.66,0.02,0.20,0.12,6.9,23.1,22.4,16.5,13.8,10,4.6,1.8,0.8,51.6,48.4,SEMI URBAN
P.023_N.16,KELANTAN,P.023,RANTAU PANJANG,N.16,APAM PUTRA,28834,97.83,0.32,0.09,0.01,0.09,0.07,1.59,98.85,0.01,1.14,0.00,7.3,24.1,23.4,15.8,13.3,9.7,4.5,1.5,0.4,50.2,49.8,SEMI URBAN
P.024_N.17,KELANTAN,P.024,KUBANG KERIAN,N.17,SALOR,36294,98.11,1.46,0.08,0.01,0.04,0.03,0.28,99.99,0.01,0.00,0.00,6.5,23,23.7,17.4,13.4,9.3,5,1.5,0.3,48.9,51.1,SEMI URBAN
P.024_N.18,KELANTAN,P.024,KUBANG KERIAN,N.18,PASIR TUMBOH,37498,98.03,1.21,0.12,0.02,0.05,0.06,0.52,99.93,0.02,0.05,0.00,8.1,26.6,25,15.1,11.5,8.7,3.8,1,0.2,49.2,50.8,SEMI URBAN
P.024_N.19,KELANTAN,P.024,KUBANG KERIAN,N.19,DEMIT,40561,96.04,3.17,0.25,0.02,0.05,0.03,0.44,99.78,0.02,0.20,0.00,7.5,25.4,26,15.6,11.8,8.5,4,1,0.2,49.2,50.8,URBAN
P.025_N.20,KELANTAN,P.025,BACHOK,N.20,TAWANG,43441,98.76,0.84,0.03,0.02,0.04,0.03,0.28,99.97,0.00,0.02,0.00,7.7,24.7,24.8,17.2,12.3,8,4.1,1,0.2,49.1,50.9,SEMI URBAN
P.025_N.21,KELANTAN,P.025,BACHOK,N.21,PANTAI IRAMA,40512,97.43,1.44,0.04,0.02,0.07,0.04,0.96,99.44,0.01,0.55,0.00,7,23.2,25.1,17.4,13.1,9,4,1,0.2,49.1,50.9,SEMI URBAN
P.025_N.22,KELANTAN,P.025,BACHOK,N.22,JELAWAT,40012,98.52,0.96,0.05,0.02,0.06,0.02,0.37,99.98,0.00,0.02,0.00,6.8,23.2,25,17.2,12.7,8.9,4.6,1.2,0.2,48.8,51.2,SEMI URBAN
P.026_N.23,KELANTAN,P.026,KETEREH,N.23,MELOR,28387,97.23,1.56,0.07,0.01,0.04,0.05,1.04,99.94,0.00,0.06,0.00,6.9,23.3,23.8,17.3,13.3,9.5,4.4,1.2,0.3,49.3,50.7,SEMI URBAN
P.026_N.24,KELANTAN,P.026,KETEREH,N.24,KADOK,21833,97.90,1.43,0.03,0.02,0.04,0.06,0.53,100.00,0.00,0.00,0.00,7,22.6,24.2,17.3,13.5,9.3,4.7,1.3,0.2,48.8,51.2,SEMI URBAN
P.026_N.25,KELANTAN,P.026,KETEREH,N.25,KOK LANAS,35679,95.40,2.47,0.12,0.07,0.52,0.99,0.42,91.22,0.01,0.10,8.67,6.5,24.4,26.4,17.3,12.3,8.5,3.5,1,0.1,51.3,48.7,SEMI URBAN
P.027_N.26,KELANTAN,P.027,TANAH MERAH,N.26,BUKIT PANAU,50237,90.88,7.58,0.16,0.01,0.07,0.04,1.27,99.50,0.01,0.48,0.00,7.3,24.8,23.6,16.3,13.6,9.5,3.7,1,0.2,49.3,50.7,SEMI URBAN
P.027_N.27,KELANTAN,P.027,TANAH MERAH,N.27,GUAL IPOH,25718,97.44,0.66,1.42,0.01,0.05,0.05,0.37,99.93,0.00,0.07,0.00,6.1,20.8,24.4,19.1,13.3,10.3,4.4,1.3,0.2,49.3,50.7,RURAL
P.027_N.28,KELANTAN,P.027,TANAH MERAH,N.28,KEMAHANG,23258,98.64,0.22,0.09,0.01,0.06,0.05,0.94,99.95,0.00,0.04,0.00,5.9,21.4,27.6,19.2,11,9.4,4.5,0.8,0.1,49.3,50.7,RURAL
P.028_N.29,KELANTAN,P.028,PASIR PUTEH,N.29,SELISING,28725,99.08,0.42,0.02,0.02,0.05,0.02,0.39,99.98,0.01,0.02,0.00,7.2,23.6,24,16.8,13.3,9.1,4.3,1.5,0.2,48.9,51.1,SEMI URBAN
P.028_N.30,KELANTAN,P.028,PASIR PUTEH,N.30,LIMBONGAN,35393,97.25,1.93,0.07,0.02,0.06,0.05,0.62,99.39,0.01,0.60,0.00,7.4,24.6,24.1,16.5,12.7,9,4.4,1.2,0.2,48.5,51.5,SEMI URBAN
P.028_N.31,KELANTAN,P.028,PASIR PUTEH,N.31,SEMERAK,26781,97.48,0.43,0.05,0.01,0.05,0.03,1.95,99.90,0.00,0.10,0.00,6.9,23.1,24.3,17.6,13.6,8.9,4.1,1.1,0.2,48.6,51.4,SEMI URBAN
P.028_N.32,KELANTAN,P.028,PASIR PUTEH,N.32,GAAL,22671,98.62,0.30,0.03,0.02,0.04,0.04,0.96,99.93,0.00,0.06,0.00,6.6,22,24.1,17.3,13.6,9.9,4.8,1.5,0.3,47.9,52.1,RURAL
P.029_N.33,KELANTAN,P.029,MACHANG,N.33,PULAI CHONDONG,28169,96.97,2.67,0.04,0.01,0.04,0.07,0.19,99.96,0.01,0.04,0.00,6.5,23.1,23.4,16.6,13.7,10.7,4.4,1.4,0.2,49.1,50.9,RURAL
P.029_N.34,KELANTAN,P.029,MACHANG,N.34,TEMANGAN,26012,94.98,4.31,0.29,0.01,0.05,0.04,0.32,99.98,0.01,0.01,0.00,6,21.7,24.6,17.2,13.8,9.8,4.9,1.7,0.3,49.3,50.7,RURAL
P.029_N.35,KELANTAN,P.029,MACHANG,N.35,KEMUNING,35015,96.98,2.38,0.14,0.02,0.07,0.03,0.37,99.32,0.01,0.65,0.03,6.7,22.8,25,17.5,13.1,9.4,4.2,1.1,0.2,49.5,50.5,SEMI URBAN
P.030_N.36,KELANTAN,P.030,JELI,N.36,BUKIT BUNGA,21722,98.32,0.17,0.10,0.06,0.37,0.27,0.71,95.60,0.00,0.29,4.11,5.7,23.4,23.4,17.6,13.7,9.7,4.3,1.5,0.6,50.8,49.2,RURAL
P.030_N.37,KELANTAN,P.030,JELI,N.37,AIR LANAS,22468,96.81,0.23,0.06,2.08,0.14,0.06,0.62,99.18,0.00,0.81,0.00,7.2,23.5,24.6,17.4,13.6,8.4,3.9,1.1,0.3,49.9,50.1,RURAL
P.030_N.38,KELANTAN,P.030,JELI,N.38,KUALA BALAH,15704,98.68,0.10,0.15,0.10,0.34,0.21,0.42,95.75,0.01,0.10,4.15,6.2,23.1,25.7,18.5,12.2,9.1,3.9,1.1,0.2,50.7,49.3,RURAL
P.031_N.39,KELANTAN,P.031,KUALA KRAI,N.39,MENGKEBANG,26843,95.93,2.30,1.29,0.02,0.02,0.04,0.39,100.00,0.00,0.00,0.00,6.9,24.7,25.2,17.2,12.6,8.4,3.7,1.1,0.3,49.9,50.1,RURAL
P.031_N.40,KELANTAN,P.031,KUALA KRAI,N.40,GUCHIL,27785,86.10,11.04,2.08,0.02,0.09,0.07,0.60,99.10,0.00,0.90,0.00,6.7,22.3,24.5,16.7,13.5,10.3,4.5,1.3,0.3,50.2,49.8,SEMI URBAN
P.031_N.41,KELANTAN,P.031,KUALA KRAI,N.41,MANEK URAI,22611,98.89,0.24,0.25,0.01,0.06,0.02,0.52,99.89,0.00,0.11,0.00,6.9,23.3,26.1,18.7,11.5,8.3,3.8,1.2,0.2,49.7,50.3,RURAL
P.031_N.42,KELANTAN,P.031,KUALA KRAI,N.42,DABONG,15255,98.65,0.08,0.22,0.03,0.08,0.06,0.88,99.91,0.01,0.08,0.00,7,24,25.8,17.3,11.8,8.5,4,1.4,0.2,50.8,49.2,RURAL
P.032_N.43,KELANTAN,P.032,GUA MUSANG,N.43,NENGGIRI,20219,86.00,0.21,0.10,13.11,0.06,0.05,0.46,99.94,0.00,0.06,0.00,8.3,27.1,26.4,15.9,9.9,7.5,4.1,0.8,0.1,51,49,RURAL
P.032_N.44,KELANTAN,P.032,GUA MUSANG,N.44,PALOH,21162,97.30,0.08,0.01,2.23,0.04,0.02,0.33,99.92,0.00,0.08,0.00,6.3,24.1,30.9,16.1,7.9,10,4.3,0.4,0,50,50,RURAL
P.032_N.45,KELANTAN,P.032,GUA MUSANG,N.45,GALAS,29638,59.75,13.61,1.19,24.47,0.17,0.12,0.69,99.21,0.01,0.78,0.00,9.1,28,24.8,15.2,11.4,7.6,2.8,0.9,0.2,51.3,48.7,RURAL
P.033_N.01,TERENGGANU,P.033,BESUT,N.01,KUALA BESUT,26992,98.52,0.56,0.09,0.03,0.16,0.14,0.50,94.90,0.00,0.09,5.00,6.97,24.99,26.16,17.93,12.09,7.34,3.62,0.74,0.17,51,49,SEMI URBAN
P.033_N.02,TERENGGANU,P.033,BESUT,N.02,KOTA PUTERA,32792,98.73,0.51,0.05,0.02,0.06,0.05,0.59,99.15,0.00,0.81,0.03,7.91,25.97,25.68,16.46,11.76,7.9,3.3,0.86,0.16,49.8,50.2,SEMI URBAN
P.033_N.03,TERENGGANU,P.033,BESUT,N.03,JERTIH,29088,94.19,3.24,0.14,0.01,0.07,0.04,0.45,99.78,0.02,0.21,0.00,6.95,23.83,25.3,17.42,12.64,8.76,3.85,1.11,0.15,49,51,SEMI URBAN
P.033_N.04,TERENGGANU,P.033,BESUT,N.04,HULU BESUT,23846,98.74,0.79,0.04,0.09,0.07,0.01,0.26,99.92,0.01,0.07,0.00,6.7,23.52,26.52,17.19,12.39,8.45,4.03,1.03,0.18,49.7,50.3,RURAL
P.034_N.05,TERENGGANU,P.034,SETIU,N.05,JABI,25192,99.04,0.37,0.04,0.02,0.11,0.03,0.40,100.00,0.00,0.00,0.00,6.84,24.49,25.38,18.24,12.62,7.75,3.54,0.94,0.21,49.6,50.4,RURAL
P.034_N.06,TERENGGANU,P.034,SETIU,N.06,PERMAISURI,30739,99.10,0.40,0.03,0.02,0.08,0.06,0.31,99.27,0.01,0.66,0.07,7.16,26.03,26.26,17.35,11.67,7.52,2.96,0.89,0.15,49.8,50.2,RURAL
P.034_N.07,TERENGGANU,P.034,SETIU,N.07,LANGKAP,22439,99.30,0.04,0.03,0.02,0.10,0.06,0.45,99.92,0.00,0.08,0.00,6.66,22.86,26.21,19.12,11.81,7.54,4.35,1.25,0.2,49.9,50.1,RURAL
P.034_N.08,TERENGGANU,P.034,SETIU,N.08,BATU RAKIT,29919,99.40,0.23,0.04,0.02,0.10,0.07,0.14,99.82,0.00,0.18,0.00,6.64,23.01,26.66,17.8,12.24,8.85,3.66,0.98,0.14,49.3,50.7,SEMI URBAN
P.035_N.09,TERENGGANU,P.035,KUALA NERUS,N.09,TEPUH,30448,98.68,0.66,0.05,0.01,0.06,0.04,0.51,99.98,0.00,0.01,0.00,7.8,25.39,26.68,16.44,11.61,7.74,3.3,0.96,0.08,49.4,50.6,SEMI URBAN
P.035_N.10,TERENGGANU,P.035,KUALA NERUS,N.10,BULUH GADING,27845,98.15,1.56,0.05,0.01,0.05,0.03,0.15,100.00,0.00,0.00,0.00,6.75,22.96,26.09,18.14,12.46,8.49,3.81,1.16,0.13,49.6,50.4,SEMI URBAN
P.035_N.11,TERENGGANU,P.035,KUALA NERUS,N.11,SEBERANG TAKIR,27733,98.97,0.23,0.11,0.03,0.24,0.17,0.25,94.37,0.02,2.73,2.88,7.71,27.6,26.74,15.72,10.76,7.84,2.9,0.65,0.08,51,49,URBAN
P.035_N.12,TERENGGANU,P.035,KUALA NERUS,N.12,BUKIT TUNGGAL,21055,97.48,1.92,0.14,0.00,0.09,0.03,0.33,99.98,0.02,0.00,0.00,6.43,22.1,26.54,18.26,12.88,8.97,3.76,0.91,0.16,50.4,49.6,URBAN
P.036_N.13,TERENGGANU,P.036,KUALA TERENGGANU,N.13,WAKAF MEMPELAM,34509,99.17,0.45,0.10,0.01,0.03,0.02,0.23,99.98,0.02,0.00,0.00,6.1,21.78,26.91,18.63,12.39,8.81,4.09,1.17,0.14,49.2,50.8,URBAN
P.036_N.14,TERENGGANU,P.036,KUALA TERENGGANU,N.14,BANDAR,22057,66.65,31.52,1.17,0.00,0.07,0.05,0.55,99.66,0.01,0.33,0.00,3.57,14.33,20.9,16.85,16.98,16.26,7.8,2.64,0.67,49.8,50.2,URBAN
P.036_N.15,TERENGGANU,P.036,KUALA TERENGGANU,N.15,LADANG,26250,89.29,8.93,0.95,0.03,0.21,0.13,0.46,95.05,0.02,4.80,0.13,4.76,18.92,25.59,17.93,14.32,11.47,5.02,1.72,0.27,50.6,49.4,URBAN
P.036_N.16,TERENGGANU,P.036,KUALA TERENGGANU,N.16,BATU BURUK,40759,96.63,2.42,0.31,0.01,0.06,0.04,0.52,99.92,0.01,0.07,0.00,6.62,22.7,25.65,17.99,12.78,9.04,4.06,1.05,0.11,49.4,50.6,URBAN
P.037_N.17,TERENGGANU,P.037,MARANG,N.17,ALUR LIMBAT,36087,96.80,2.69,0.09,0.01,0.06,0.06,0.29,99.48,0.01,0.00,0.51,7.16,24.69,26.08,16.76,11.95,8.44,3.71,1.09,0.13,49.8,50.2,SEMI URBAN
