Created on,30/9/2025,
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA),
Sources,"Tindak Malaysia (2025), Laporan Pilihanraya Umum Dewan Undangan Negeri Sarawak 1991, State Elections in Sarawak (1969 - 1991) by James Ritchie and Tan Chin Siang,  Almanak keputusan pilihan raya umum : Parlimen & Dewan Undangan Negeri, 1959-1999 (Anzagain Sdn Bhd), Chin, J. (1996). The 1991 Sarawak election: continuity of ethnic politics. South East Asia Research, 4(1), 23–40. http://www.jstor.org/stable/23746927. For more information, please refer to SARAWAK_1991_Other_Sources_DUN_File",
Disclaimers,"There are gaps in the age data for the candidates. PBDS is in state opposition but remains as a member of Barisan Nasional at the federal level. PBDS was eventually readmitted to BN Sarawak in 1994. Though barred by BN federally for PBDS to cooperate with DAP, local PBDS and DAP in Sarikei struck an arrangement in a one-to-one contest against Sarawak BN (DAP contest in Repok and PBDS contest in Meradong). TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives.",
,,
DUN Candidates where sex category require more verification,,
PBDS,KONG PAK NAM,MALE
NEGARA,ATON AK KAJIT,MALE
NEGARA,BANIE ANAK LABA,MALE
NEGARA,ENGKAMAT AK NANANG,MALE
NEGARA,MENJANG AK MAWAR,MALE
INDEPENDENT - TIGER,CHONG JU SIAW,MALE
INDEPENDENT - ROOSTER,EMAT AK LIDY,MALE
INDEPENDENT - UMBRELLA,UNGUN AK BAYANG,MALE
INDEPENDENT - KEY,NGALAMBONG AK LIMBANG,MALE
,,
Attribute,,
,,
FIELD NAME,FIELD DESCRIPTION,
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier),
STATE,State Name,
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Constituency Code (1987 - 1996),
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Constituency Name (1987 - 1996),
STATE CONSTITUENCY CODE,State Constituency Code (1987 - 1996),
STATE CONSTITUENCY NAME,State Constituency Name (1987 - 1996),
WINNING PARTY,Party/Coalition (with Component Party) who won the seat,
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank",
TOTAL ELECTORATE,Total Elector count using revised Electoral roll up to 2nd October 1983 and certified on 1st November 1983,
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes,
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate,
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll,
TOTAL UNRETURNED VOTES,Number of ballots papers issued but no returned (including postal ballot papers),
TOTAL REJECTED VOTES,Total number of rejected ballot papers,
TOTAL VALID VOTES,Total number of votes by electors,
BN,Barisan Nasional Component Party,
BN CANDIDATE,Barisan Nasional Candidate Name,
BN CANDIDATE SEX,Male/Female Classification,
BN CANDIDATE AGE,Age of Barisan Nasional Candidate,
BN VOTE,Barisan Nasional Valid Vote for the Candidate,
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (1),Other Party,
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (1) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (2),Other Party,
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (2) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (3),Other Party,
OTHER PARTY (3) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (3) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (3) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (3) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (4),Other Party,
OTHER PARTY (4) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (4) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (4) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (4) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (4) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (1),Independent with Symbol,
INDEPENDENT (1) CANDIDATE,Independent Candidate Name,
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (2),Independent with Symbol,
INDEPENDENT (2) CANDIDATE,Independent Candidate Name,
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
,,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,,
PBB,Parti Pesaka Bumiputera Bersatu,
SUPP,Sarawak United People's Party,
SNAP,Sarawak National Party,
PBDS,Parti Bansa Dayak Sarawak,
PERMAS,Persatuan Rakyat Malaysia Sarawak,
DAP,Democratic Action Party,
NEGARA,Parti Negara Rakyat Sarawak,

