UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2)VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,"OTHER PARTY (1) CANDIDATE LOST DEPOSIT
",OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) CANDIDATE VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.004_N.01,KEDAH,P.004,LANGKAWI,N.01,AYER HANGAT,BN-UMNO,,"20,130","5,311",86.68%,"17,449",136,292,"17,021",UMNO,MOHD RAWI BIN ABD HAMID,MALE,46,"11,166",,PAS,ZUBIR BIN AHMAD,MALE,50,"5,855",,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.004_N.02,KEDAH,P.004,LANGKAWI,N.02,KUAH,BN-UMNO,,"17,406","6,371",84.15%,"14,647",84,291,"14,272",UMNO,NOR SAIDI BIN NANYAN,MALE,42,"10,263",,PKR,DATO’ HJ. AHMAD BIN KASIM,MALE,50,"3,892",,,,,,,,,,,,,,,,,,,,INDEPENDENT - MOTORCYCLE,ZAFLEE BIN PAKWANTEH,MALE,,117,LOST DEPOSIT,,,,,,,,,,,,
P.005_N.03,KEDAH,P.005,JERLUN,N.03,KOTA SIPUTEH,BN-UMNO,,"22,816","2,238",86.34%,"19,699",17,366,"19,316",UMNO,DATO’ ABU HASAN BIN SARIF,MALE,58,"10,777",,PAS,ISMAIL BIN W. TEH @ JAZIZ,MALE,51,"8,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.005_N.04,KEDAH,P.005,JERLUN,N.04,AYER HITAM,BN-UMNO,,"29,567","2,446",88.61%,"26,200",98,382,"25,720",UMNO,DATO’ PADUKA HJ MUKHRIZ TUN MAHATHIR,MALE,49,"14,083",,PAS,USTAZ ABD. GHANI BIN AHMAD,MALE,43,"11,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006_N.05,KEDAH,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,BN-UMNO,,"29,228","7,873",87.55%,"25,588",66,487,"25,035",UMNO,AHMAD ZAINI BIN JAPAR,MALE,57,"16,454",,PKR,HAJI NASRUL OMAR,MALE,,"8,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006_N.06,KEDAH,P.006,KUBANG PASU,N.06,JITRA,BN-UMNO,,"36,322","3,056",87.30%,"31,708",182,394,"31,132",UMNO,AMINUDDIN BIN OMAR,MALE,45,"17,094",,PAS,DR. ROHANI BINTI ABD MUTTALIB,FEMALE,60,"14,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.007_N.07,KEDAH,P.007,PADANG TERAP,N.07,KUALA NERANG,BN-UMNO,,"21,651","1,997",89.57%,"19,393",49,380,"18,964",UMNO,BADROL HISHAM BIN HASHIM,MALE,45,"10,363",,PAS,SYED IBRAHIM BIN SYED OMAR,MALE,49,"8,366",,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,AHMAD BIN MAD. DAUD,MALE,,235,LOST DEPOSIT,,,,,,,,,,,,
P.007_N.08,KEDAH,P.007,PADANG TERAP,N.08,PEDU,BN-UMNO,,"20,309","2,960",91.15%,"18,511",51,376,"18,084",UMNO,KAMA NORIAH BINTI IBRAHIM,FEMALE,43,"10,522",,PKR,Ir. ZAMRI YUSUF,MALE,47,"7,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008_N.09,KEDAH,P.008,POKOK SENA,N.09,BUKIT LADA,BN-UMNO,,"27,593","1,324",88.87%,"24,521",58,459,"24,004",UMNO,DATO AHMAD LEBAI SUDIN,MALE,55,"12,664",,PAS,USTAZ IZZAT SHAUKI,MALE,33,"11,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008_N.10,KEDAH,P.008,POKOK SENA,N.10,BUKIT PINANG,PR-PAS,,"26,426","1,672",86.89%,"22,961",71,258,"22,632",UMNO,MOHD MUKHTAR BIN NOOR (CIKGU TAT),MALE,,"10,480",,PAS,WAN ROMANI,MALE,57,"12,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
