UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.014_N.25,KEDAH,P.014,MERBOK,N.25,BUKIT SELAMBAU,PR - PKR,,49087,530,85.61,42023,125,839,41059,MIC,M. L. MARAN,MALE,58,19561,,PKR,DR. R KRISHNAMOORTHY,MALE,,20091,,,,,,,,,,,,,,,,,,,,KITA,KAMAL NASSER,MALE,50,388,LOST DEPOSIT,INDEPENDENT - HIBISCUS,SYED OMAR BIN SYED MAHAMUD,MALE,,936,LOST DEPOSIT,INDEPENDENT - KEY,THIVAGARAN A/L SUPRAMANY,MALE,,83,LOST DEPOSIT,,,,,,,,,,,,
P.014_N.26,KEDAH,P.014,MERBOK,N.26,TANJONG DAWAI,BN - UMNO,,36821,3780,88.26,32497,95,546,31856,UMNO,DATO' HAJI TAJUL URUS BIN MAT ZAIN,MALE,61,17818,,,,,,,,PAS,USTAZ AHMAD FAKHRUDDIN BIN FAKHRURAZI,MALE,42,14038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.015_N.27,KEDAH,P.015,SUNGAI PETANI,N.27,PANTAI MERDEKA,BN - UMNO,,33282,1707,89.43,29763,54,314,29395,UMNO,HAJI ALI YAHAYA,MALE,55,15393,,,,,,,,PAS,HJ. ABDULLAH BIN JUSOH,MALE,64,13686,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,MOHD YUSUF BIN LAZIM,MALE,,316,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.015_N.28,KEDAH,P.015,SUNGAI PETANI,N.28,BAKAR ARANG,PR - PKR,,34743,6534,85.25,29619,69,366,29184,MCA,DR LEE YEAN WANG,MALE,40,11223,,PKR,SIMON OOI,MALE,29,17757,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - MOTORCYCLE,ONG KAH SOON,MALE,,204,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.015_N.29,KEDAH,P.015,SUNGAI PETANI,N.29,SIDAM,PR - PKR,,25151,5964,86.05,21642,129,245,21268,GERAKAN,BEE SIEONG HENG,MALE,47,7225,,PKR,DR ROBERT LING,MALE,40,13189,,,,,,,,,,,,,,,,,,,,KITA,VINCENT CV UH,MALE,45,42,LOST DEPOSIT,INDEPENDENT - BIRD,TAN HOCK HUAT,MALE,,197,LOST DEPOSIT,INDEPENDENT - ELEPHANT,OOI BENG KOOI,MALE,,268,LOST DEPOSIT,INDEPENDENT - HIBISCUS,ZAMIL BIN IBRAHIM,MALE,,347,LOST DEPOSIT,,,,,,
P.016_N.30,KEDAH,P.016,BALING,N.30,BAYU,BN - UMNO,,34570,4132,89.24,30850,72,430,30348,UMNO,DATUK AZMI CHE HUSAIN,MALE,52,17240,,,,,,,,PAS,USTAZ MAHMUD YAAKOB,MALE,,13108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.016_N.31,KEDAH,P.016,BALING,N.31,KUPANG,BN - UMNO,,30511,1924,89.61,27342,72,340,26930,UMNO,HARUN BIN ABDUL AZIZ,MALE,48,14427,,,,,,,,PAS,CIKGU JOHARI BIN ABDULLAH,MALE,47,12503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.016_N.32,KEDAH,P.016,BALING,N.32,KUALA KETIL,PR - PAS,,28087,1154,88.71,24917,59,369,24489,UMNO,MOHD KHAIRUL AZHAR BIN ABDULLAH,MALE,,11615,,,,,,,,PAS,CIKGU MD. ZUKI BIN YUSOF,MALE,55,12769,,,,,,,,,,,,,,KITA,DATUK DR. KRIS,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.017_N.33,KEDAH,P.017,PADANG SERAI,N.33,MERBAU PULAS,PR - PAS,,33597,633,87.36,29349,69,503,28777,UMNO,MARLIA BINTI ABD LATIFF,FEMALE,60,14072,,,,,,,,PAS,USTAZAH SITI ASHAH,FEMALE,51,14705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.017_N.34,KEDAH,P.017,PADANG SERAI,N.34,LUNAS,PR - PKR,,40498,9084,87.00,35235,110,392,34733,MIC,S. ANANTHAN,MALE,46,12586,,PKR,CIKGU AZMAN,MALE,41,21670,,,,,,,,,,,,,,,,,,,,KITA,PREBA,MALE,,71,LOST DEPOSIT,INDEPENDENT - HIBISCUS,R. VASANTHI,FEMALE,,406,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
