Created on,"29/6/2024, updated on 17/7/2025"
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Laporan Pilihanraya Umum Malaysia 1995, Government Gazettes P.U. (B) 176 - P. U. (B) 190 20th April 1995, New Straits Times 21st November 1999, Almanak keputusan pilihan raya umum : Parlimen & Dewan Undangan Negeri, 1959-1999 EC's inhouse publication featuring brief biodata of elected candidates. For specific Parliamentarian Candidate background details, refer to 1995_Other_Sources_Parliament_File"
Disclaimers,"Parliamentary Constituency Names follow the EC Map of 1994 (for Peninsular Malaysia, Labuan, and Sabah) and 1987 (for Sarawak). Gerakan association for the Parliamentary Seat of Tanjong is guessed. EC has made mistakes in quantifying the number of candidates losing deposits (Independents - errors found for Sabah, Sarawak, DAP -errors found for Sabah, Sarawak, Labuan and Permatang Pauh (Pulau Pinang) Parliamentary Constituencies, PBS - errors found in Sabah, PAS - errors found in Labuan). EC has not shown the total number of electors for Petra Jaya (Sarawak), Kota Samarahan (Sarawak), Batang Lupar (Sarawak), Kuala Rajang (Sarawak), Sarikei (Sarawak), Kanowit (Sarawak)and Mukah (Sarawak). Almanak keputusan pilihan raya umum : Parlimen & Dewan Undangan Negeri, 1959-1999 publication was used to fill up the remaining electorate count gaps EC Report has a contradictory value for BN total vote for Sarawak is 269756 which impacts the total valid vote and total ballots issued for Sarawak. DAP pulled out Gagasan Rakyat on 25th January 1995 (few months before elections) and opted to maintain cooperation with S46 and remaining members of Gagasan Rakyat. S46 is a member of Gagasan Rakyat and Angkatan Perpaduan Ummah. EC Report had a contradictory total elector count of 77188 voters for Klang Parliamentary Constituency. EC has contradictory values of total electors of Perlis (it claims of an alternate value of 104195), Kelantan( it claims 608401), Penang (634630), Pahang (498221), Selangor (103050), Sabah (646719). 1995_PARLIAMENTARY_CANDIDATE_NOTES file shows which candidates require sex category verification. Postal Vote Statistics are derived Penyata Pilihan Raya Umum (Dewan Rakyat  dan Dewan Undangan Negeri), Tahun 1995, Suruhanjaya Pilihan Raya. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives"
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,"Unique Identifier. For this case, it is the Parliamentary Code"
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,"Parliamentary Constituency Code (for Peninsular Malaysia and Sabah, 1994 - 2003, for Sarawak, 1987 - 1996)"
