INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (2),Independent with Symbol,
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette,
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
,,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,,
UMNO,United Malays National Organisation,
MCA,Malaysian Chinese Association,
MIC,Malaysian Indian Congress,
GERAKAN,Parti Gerakan Rakyat Malaysia,
PAS,Parti Islam Se-Malaysia,
BERJASA,Barisan Jemaah Islamiah Se-Malaysia,
DAP,Democratic Action Party,
PRM,Parti Rakyat Malaysia,
PBS,Parti Bersatu Sabah,
AKIM,Parti Angkatan Keadilan Insan Malaysia,
