Created on,12/11/2024
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Tindak Malaysia (2024), Laporan Pilihanraya Umum Dewan Undangan Negeri Sabah 1985, Suruhanjaya Pilihan Raya, New Straits Times 3rd April 1985.  Refer to 1985_Other_Sources for other sources"
Disclaimers,"This file does not have the candidate's age information. USNO was removed from Barisan Nasional in 1984. Sabah Chinese Consolidated Pary (SCCP) opted not to contest. Following are the candidates who require further sex verification - Willie Chong Kui Shen (USNO), Tan Kit Sher (PBS), Fung Thiam Fu (DAP), Liew Chung Fatt (Bersih), and Lim Ting Yee (Independent). TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives."
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier).
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Constituency Code (1984 - 1994)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Constituency Name (1984 - 1994)
STATE CONSTITUENCY CODE,State Constituency Code (1984 - 1994)
STATE CONSTITUENCY NAME,State Constituency Code (1984 - 1994)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector Count for 1985 Elections using  Electoral Roll certified on 2/1/1985
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers used at the poll
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
USNO,United Sabah National Organisation (USNO)
USNO CANDIDATE,USNO Candidate Name
USNO CANDIDATE SEX,Male/Female Classification
USNO CANDIDATE AGE,Age of USNO Candidate
USNO VOTE,USNO Valid Vote for the Candidate
USNO CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
PBS,Parti Bersatu Sabah (PBS)
PBS CANDIDATE,PBS Candidate Name
PBS CANDIDATE SEX,Male/Female Classification
PBS CANDIDATE AGE,Age of PBS Candidate
PBS VOTE,PBS Valid Vote for the Candidate
PBS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
OTHER PARTY (1),Other Party Name
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (1) VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (2),Other Party Name
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (2) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (2) VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (3),Other Party Name
OTHER PARTY (3) CANDIDATE,Other Party Candidate Name
OTHER PARTY (3) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (3) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (3) VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent
INDEPENDENT (1) CANDIDATE,Independent Candidate Name
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
INDEPENDENT (2),Independent
INDEPENDENT (2) CANDIDATE,Independent Candidate Name
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
BERJAYA,Parti Bersatu Rakyat Jelata Sabah
BERSEPADU,Parti Bersatu Rakyat Bumiputra Sabah
DAP,Democratic Action Party
PASOK,Pertubuhan Kebangsaan Pasok Nunukragang Bersatu
BERSIH,United People's Action Party
