Created on,13/1/2024 ,updated on 16/1/2024
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Tindak Malaysia (2024), State of Sabah Government Gazette 1st April 1967 (for Contested Candidate Names), State of Sabah Government Gazette 10th May 1967 (for Uncontested Candidate Names and Election Results). Refer to 1967_Other_Sources for other source files"
Disclaimers,"Constituency Codes and Names as per Sabah first delineation report (Government Gazettes indicate constituency code as S.1, S.2, etc). Government Gazette spells Bengkoka-Banggi as Bengkokka-Banggi and spells Pensiangan-Sook as Pensiangan Sook. Government Gazette has wrong values for Total Ballots Issued for Constituencies of Bengkoka- Banggi, Labuan, Pensiangan-Sook, Ranau, Sandakan Bandar and Lamag. There may be a presence for missing data points for age attribute for candidates. Sabah Alliance parties contested among themselves. Following are the SCA Candidates who used Alliance (Perikatan) flag instead of SCA - DATO PHANG THET TSUNG, KHOO SIAK CHIEW, MR. PETER LO SU YIN and CHAN FOO SANG. No information available on candidates losing deposit. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives."
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier).
STATE,State Name
PARLIAMENTARY CODE,Parliamentary Code (1966 - 1974)
PARLIAMENTARY NAME,Parliamentary Name (1966 - 1974)
STATE CONSTITUENCY CODE,State Constituency Code (1966 - 1974)
STATE CONSTITUENCY NAME,State Constituency Code (1966 - 1974)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector Count for 1967 elections
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers used at the poll (excluding spoiled ballot papers)
TOTAL UNRETURNED VOTES,Total number of ballot papers issued but not put in the ballot box and not returned (no information is available)
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
SABAH ALLIANCE (1),Sabah Alliance Component Party (USNO/SCA)
SABAH ALLIANCE (1) CANDIDATE,Sabah Alliance Candidate Name
