Created on,"10/2/2024, updated on 9/6/2024"
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Warta Kerajaan Seri Paduka Baginda 20 August 1974, Warta Kerajaan Seri Paduka Baginda 3 October 1974, New Straits Times 9th August 1974 and 26th August 1974, https://www.oocities.org/hualian_studentclub/pilihanraya/pilihanraya_umum_keempat_1974.htm, Penyata Pilihanraya Umum Dewan Rakyat dan Dewan Undangan Negeri bagi Negeri-Negeri Tanah Melayu dan Sarawak Tahun 1974. For more information, refer to 1974_DUN_Other_Sources"
Disclaimers,There are missing gaps for candidate age data. There could be inaccuracies on who lost deposits for the elections. Refer to MALAYSIA_1974_DUN_DISCLAIMERS file for more detailed explanation for discrepancies. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier)
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,"Parliamentary Constituency Code (for Peninsular Malaysia and Sabah, 1974 - 1984, for Sarawak 1968 - 1977)"
PARLIAMENTARY CONSTITUENCY NAME,"Parliamentary Constituency Name (for Peninsular Malaysia and Sabah, 1974 - 1984, for Sarawak 1968 - 1977)"
STATE CONSTITUENCY CODE,"State Constituency Code (for Peninsular Malaysia and Sabah, 1974 - 1984, for Sarawak 1968 - 1977)"
STATE CONSTITUENCY NAME,"State Constituency Name (for Peninsular Malaysia and Sabah, 1974 - 1984, for Sarawak 1968 - 1977)"
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector count using 1974 Elections Electoral Roll based on revised Electoral Roll of 1973 certified on 31st July 1974
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
