Created on,"11/7/2022 ,updated on 1/5/2023"
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Buku Laporan Pilihan Raya Umum Dewan Undangan Negeri Sarawak Kesebelas 2016 (Election Commission of Malaysia (SPR), Tindak Malaysia (2020), Pilihan Raya Demokrasi Malaysia by Ab. Rashid Ab. Rahman & G. Manimaran (2021), Florczyk A.J., Corbane C., Ehrlich D., Freire S., Kemper T., Maffenini L., Melchiorri M., Pesaresi M., Politis P., Schiavina, M., Sabo F., Zanchetta L., GHSL Data Package 2019, EUR 29788 EN, Publications Office of the European Union, Luxembourg, 2019, ISBN 978-92-76-13186-1, doi:10.2760/290498, JRC 117104, New Straits Times (7/5/2016)"
,
Disclaimers,"No established error range was found New Straits Time ethnic composition.There are disputed ethnic figures for DUN Serembu. Borneo Post (22/2/2016) figures are used for Serembu as New Straits Times data is errorneous in nature. Original Source Data for age group of 50 - 59 for DUN Tupong was an error and was corrected by Tindak Malaysia. Similarly, correction was made for the age group of 70 - 79 for DUN Bukit Goram as original data source had error. TindakMalaysia Network Services PLT is not responsible  for any errors or ommissions arising from the original data or its derivatives"
Attribute,
,
Field Name,Field Description
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier)
STATE,State Name
PARLIAMENTARY CODE,Parliamentary Code (2015 - present at the Created Date)
PARLIAMENTARY NAME,Parliamentary Name (2015 - present at the Created Date)
STATE CONSTITUENCY CODE,State Constituency (DUN) Code (2015 - present at the Created Date)
STATE CONSTITUENCY NAME,State Constituency (DUN) Name (2015 - present at the created Date)
TOTAL ELECTORS,Total Electors using Principal Electoral Roll (2015) that was certified and gazetted on 9th March 2016 and updated until 10th April 2016
MALAY AND MELANAU (%),Proportion of Malay and Melanau Electors for the State Constituency (%)
CHINESE (%),Proportion of Chinese Electors for the State Constituency (%)
IBAN (%),Proportion of Iban Electors for the State Constituency (%)
BIDAYUH (%),Proportion of Bidayuh Electors for the State Constituency (%)
ORANG ULU (%),Proportion of Orang Ulu Electors for the State Constituency (%)
OTHERS (%),Proportion of Others Electors for the State Constituency (%)
ELECTORS - NORMAL VOTERS (%),Proportion of Normal Electors for the State Constituency (%)
ELECTORS - ABSENT VOTERS (%),Proportion of Absent Electors for the State Constituency (%)
ELECTORS - MILITARY VOTERS (%),Proportion of Military and Spouses Electors for the State Constituency (%)
ELECTORS - POLICE VOTERS (%),Proportion of Police/General Operation Forces and Spouses Electors for the State Constituency (%)
21-29 (%),Proportion of 21-29 Electors for the State Constituency (%)
30-39 (%),Proportion of 30-39 Electors for the State Constituency (%)
40-49 (%),Proportion of 40-49 Electors for the State Constituency (%)
50-59 (%),Proportion of 50-59 Electors for the State Constituency (%)
60-69 (%),Proportion of 60-69 Electors for the State Constituency (%)
70-79 (%),Proportion of 70-79 Electors for the State Constituency (%)
80-89 (%),Proportion of 80-89 Electors for the State Constituency (%)
90 AND ABOVE (%),Proportion of 90 and Above Electors for the State Constituency (%)
MALE ELECTORS (%),Proportion of Male Electors for the State Constituency (%)
WOMEN ELECTORS (%),Proportion of Women Electors for the State Constituency (%)
URBAN-RURAL CLASSIFICATION (2016),State Constituency urbanization classification
