State Constituency Code,State Constituency Name,Category,SubCategory (if applicable),Total
N. 04,TANJONG KAPOR,1A (Police/Military/Media/EC Officers/Polling Staff),(No Data),556
N. 04,TANJONG KAPOR,1B (Overseas Malaysians),(No Data),3
N. 04,TANJONG KAPOR,1C (Selected Government Agencies),(No Data),36
N. 16,KARAMBUNAI,1A (Police/Military/Media/EC Officers/Polling Staff),(No Data),1082
N. 16,KARAMBUNAI,1B (Overseas Malaysians),(No Data),10
N. 16,KARAMBUNAI,1C (Selected Government Agencies),(No Data),8
N. 49,LABUK,1A (Police/Military/Media/EC Officers/Polling Staff),Police,31
N. 49,LABUK,1A (Police/Military/Media/EC Officers/Polling Staff),Media,3
N. 49,LABUK,1A (Police/Military/Media/EC Officers/Polling Staff),Polling Staff,120
N. 49,LABUK,1B (Overseas Malaysians),Overseas Malaysians,0
N. 49,LABUK,1C (Selected Government Agencies),Civil Defense Department,1
N. 49,LABUK,1C (Selected Government Agencies),Immigration Department,1
N. 49,LABUK,1C (Selected Government Agencies),Health Department,3
N. 49,LABUK,1C (Selected Government Agencies),Fire and Rescue Department,2
N. 64,SULABAYAN,1A (Police/Military/Media/EC Officers/Polling Staff),Police,7
N. 64,SULABAYAN,1A (Police/Military/Media/EC Officers/Polling Staff),Media,3
N. 64,SULABAYAN,1A (Police/Military/Media/EC Officers/Polling Staff),Polling Staff,130
N. 64,SULABAYAN,1B (Overseas Malaysians),Overseas Malaysians,1
N. 64,SULABAYAN,1C (Selected Government Agencies),Fire and Rescue Department,2
N. 64,SULABAYAN,1C (Selected Government Agencies),Prisons Department,2
N. 64,SULABAYAN,1C (Selected Government Agencies),Sabah Electricity State Board,1
N. 65,SENALLANG,1A (Police/Military/Media/EC Officers/Polling Staff),Police,17
N. 65,SENALLANG,1A (Police/Military/Media/EC Officers/Polling Staff),Military,91
N. 65,SENALLANG,1A (Police/Military/Media/EC Officers/Polling Staff),Media,3
N. 65,SENALLANG,1A (Police/Military/Media/EC Officers/Polling Staff),Polling Staff,243
N. 65,SENALLANG,1B (Overseas Malaysians),Overseas Malaysians,0
N. 65,SENALLANG,1C (Selected Government Agencies),Health Department,1
N. 65,SENALLANG,1C (Selected Government Agencies),Fire and Rescue Department,1
N. 65,SENALLANG,1C (Selected Government Agencies),Prisons Department,4
N. 65,SENALLANG,1C (Selected Government Agencies),Sabah Electricity State Board,7
N. 66,BUGAYA,1A (Police/Military/Media/EC Officers/Polling Staff),Police,270
N. 66,BUGAYA,1A (Police/Military/Media/EC Officers/Polling Staff),Military,1
N. 66,BUGAYA,1A (Police/Military/Media/EC Officers/Polling Staff),Media,5
N. 66,BUGAYA,1A (Police/Military/Media/EC Officers/Polling Staff),EC Officer,1
N. 66,BUGAYA,1A (Police/Military/Media/EC Officers/Polling Staff),Polling Staff,379
N. 66,BUGAYA,1B (Overseas Malaysians),Overseas Malaysians,1
N. 66,BUGAYA,1C (Selected Government Agencies),Civil Defense,1
N. 66,BUGAYA,1C (Selected Government Agencies),Fire and Rescue Department,2
N. 66,BUGAYA,1C (Selected Government Agencies),Immigration Department,1
N. 66,BUGAYA,1C (Selected Government Agencies),Health Department,2
N. 66,BUGAYA,1C (Selected Government Agencies),Prisons Department,2
N. 66,BUGAYA,1C (Selected Government Agencies),Sabah Electricity State Board,6
