UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MUSLIM BUMIPUTERA (%),NON MUSLIM BUMIPUTERA (%),CHINESE (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - MILITARY AND SPOUSES VOTERS (%),ELECTORS - POLICE AND SPOUSES VOTERS (%),18 - 20 (%),21 - 29 (%),30 - 39 (%),40 - 49 (%),50 - 59 (%),60 - 69 (%),70 - 79 (%),80 - 89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2025)
P. 167_N. 01,SABAH,P. 167,KUDAT,N. 01,BANGGI,9484,,,,,100.00,0.00,0.00,7.63,23.86,23.68,15.62,10.97,8.46,4.46,2.29,3.04,49.29,50.71,RURAL
P. 167_N. 02,SABAH,P. 167,KUDAT,N. 02,BENGKOKA,18056,,,,,100.00,0.00,0.00,7.30,24.08,23.90,17.30,11.75,7.83,4.04,1.90,1.91,51.22,48.78,RURAL
P. 167_N. 03,SABAH,P. 167,KUDAT,N. 03,PITAS,17574,,,,,100.00,0.00,0.00,6.97,23.99,23.89,18.59,11.70,8.21,3.72,1.30,1.63,50.14,49.86,SEMI URBAN
P. 167_N. 04,SABAH,P. 167,KUDAT,N. 04,TANJONG KAPOR,34001,,,,,98.11,0.18,1.71,6.94,21.88,23.08,18.29,13.30,9.15,4.48,1.76,1.12,51.19,48.81,SEMI URBAN
P. 168_N. 05,SABAH,P. 168,KOTA MARUDU,N. 05,MATUNGGONG,29176,,,,,100.00,0.00,0.00,7.15,22.73,25.01,18.34,12.01,7.84,3.66,1.76,1.49,50.61,49.39,RURAL
P. 168_N. 06,SABAH,P. 168,KOTA MARUDU,N. 06,BANDAU,27390,,,,,99.27,0.00,0.73,7.61,24.34,25.80,17.86,11.01,7.84,3.27,1.24,1.02,50.54,49.46,RURAL
P. 168_N. 07,SABAH,P. 168,KOTA MARUDU,N. 07,TANDEK,29244,,,,,100.00,0.00,0.00,7.68,24.96,24.87,17.30,10.49,8.18,4.03,1.45,1.04,50.69,49.31,RURAL
P. 169_N. 08,SABAH,P. 169,KOTA BELUD,N. 08,PINTASAN,15896,,,,,100.00,0.00,0.00,6.84,21.84,22.78,18.85,12.89,9.24,4.51,1.92,1.13,48.39,51.61,RURAL
P. 169_N. 09,SABAH,P. 169,KOTA BELUD,N. 09,TEMPASUK,17116,,,,,98.01,1.99,0.00,6.21,21.39,23.45,17.30,13.88,10.49,4.25,1.86,1.17,49.02,50.98,SEMI URBAN
P. 169_N. 10,SABAH,P. 169,KOTA BELUD,N. 10,USUKAN,24235,,,,,99.20,0.00,0.80,7.13,22.49,23.14,17.95,12.95,10.39,3.75,1.32,0.89,49.23,50.77,SEMI URBAN
