Created on,23/10/2024
OTHER PARTY (3) VOTE,Other Party Candidate Valid Vote
OTHER PARTY (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent with Symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (2),Independent with Symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (3),Independent with Symbol
INDEPENDENT (3) CANDIDATE,Independent Candidate Name
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
UMNO,United Malays National Organisation
MCA,Malaysian Chinese Association
MIC,Malaysian Indian Congress
PPP,People's Progressive Party
GERAKAN,Parti Gerakan Rakyat Malaysia
LDP,Liberal Democratic Party
UPKO,United Progressive Kinabalu Organisation
SAPP,Sabah Progressive Party
PBRS,Parti Bersatu Rakyat Sabah
PBS,Parti Bersatu Sabah
PBB,Parti Pesaka Bumiputera Bersatu
PBDS,Parti Bansa Dayak Sarawak
SUPP,Sarawak United People's Party
SPDP,Sarawak Progressive Democratic Party
PAS,Parti Islam Se-Malaysia
PKR,Parti Keadilan Rakyat
DAP,Democratic Action Party
PRM,Parti Rakyat Malaysia
BERSEKUTU,Parti Barisan Rakyat Sabah Bersekutu
SNAP,Sarawak National Party
