Created on,2/1/2025
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Tindak Malaysia (2024), Government Gazette P.U. (B) 374 12/7/1990, Government Gazette P.U. (B) 4313 23/8/1990, New Straits Times 18/7/1990, 19/7/1990, https://www.oocities.org/hualian_studentclub/pilihanraya/pilihanraya_umum_sabah_1990.htm.  Refer to 1990_Other_Sources for other sources"
Disclaimers,This file does not have the candidate's age information. PBS and USNO are members of the Barisan Nasional Coalition but USNO is the state-level opposition. BERJAYA party left Barisan Nasional in 1986. Refer to 1990_DUN_Candidate_Notes for candidates who require sex verification. There is a discrepancy of total rejected votes and total unreturned votes. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives.
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier).
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Constituency Code (1984 - 1994)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Constituency Name (1984 - 1994)
STATE CONSTITUENCY CODE,State Constituency Code (1984 - 1994)
STATE CONSTITUENCY NAME,State Constituency Code (1984 - 1994)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector Count for 1990 Elections using  Electoral Roll certified on 9/6/1990
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers used at the poll
TOTAL UNRETURNED VOTES,Total number of ballot papers issued but not put in the ballot box
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
BN (1),Barisan Nasional (BN) Component Party (USNO)
BN (1) CANDIDATE,Barisan Nasional Candidate Name
BN (1) CANDIDATE SEX,Male/Female Classification
BN (1) CANDIDATE AGE,Age of Barisan Nasional Candidate
BN (1) VOTE,Barisan Nasional Valid Vote for the Candidate
BN (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
BN (2),Barisan Nasional (BN) Component Party (PBS)
BN (2) CANDIDATE,Barisan Nasional Candidate Name
BN (2) CANDIDATE SEX,Male/Female Classification
BN (2) CANDIDATE AGE,Age of Barisan Nasional Candidate
BN (2) VOTE,Barisan Nasional Valid Vote for the Candidate
BN (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
BERJAYA,Bersatu Rakyat Jelata Sabah (BERJAYA)
BERJAYA CANDIDATE,BERJAYA Candidate Name
BERJAYA CANDIDATE SEX,Male/Female Classification
BERJAYA CANDIDATE AGE,Age of BERJAYA Candidate
BERJAYA VOTE,BERJAYA Valid Vote for the Candidate
BERJAYA CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
AKAR,Angkatan Keadilan Rakyat (AKAR)
AKAR CANDIDATE,AKAR Candidate Name
AKAR CANDIDATE SEX,Male/Female Classification
AKAR CANDIDATE AGE,Age of AKAR Candidate
AKAR VOTE,AKAR Valid Vote for the Candidate
AKAR CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PRS,Parti Rakyat Sabah (PRS)
PRS CANDIDATE,PRS Candidate Name
PRS CANDIDATE SEX,Male/Female Classification
PRS CANDIDATE AGE,Age of PRS Candidate
PRS VOTE,PRS Valid Vote for the Candidate
PRS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (1),Other Party Name
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (1) VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (2),Other Party Name
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (2) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (2) VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent with Symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (2),Independent with Symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
USNO,United Sabah National Organisation
PBS,Parti Bersatu Sabah
LDP,Liberal Democratic Party
DAP,Democratic Action Party
