Created on,1/4/2025
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Tindak Malaysia (2025), Laporan pilihan raya umum Dewan Undangan Negeri Sabah yang ke sembilan, 1999, New Straits Times 1/3/1999 & 7/3/1999"
Disclaimers,"This file does not have the candidate's age information. Parti Demokratik Sabah was renamed to UPKO after the Sabah State Elections, but before the 1999 General Elections, TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives."
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier).
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Constituency Code (1994 - 2003)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Constituency Name (1994 - 2003)
STATE CONSTITUENCY CODE,State Constituency Code (1994 - 2003)
STATE CONSTITUENCY NAME,State Constituency Code (1994 - 2003)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector Count for 1999 Elections using Electoral Roll of 1998 certified on 7th January 1999
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers used at the poll
TOTAL UNRETURNED VOTES,Total number of ballot papers issued but not put in the ballot box
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party (USNO)
BN CANDIDATE,Barisan Nasional Candidate Name
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
BA (1),Barisan Alternatif (BA) Component Party
BA (1) CANDIDATE,BA Candidate Name
BA (1) CANDIDATE SEX,Male/Female Classification
BA (1) CANDIDATE AGE,Age of BA Candidate
BA (1) VOTE,BA Valid Vote for the Candidate
BA (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PBS,Parti Bersatu Sabah (PBS)
PBS CANDIDATE,PBS Candidate Name
PBS CANDIDATE SEX,Male/Female Classification
PBS CANDIDATE AGE,Age of PBS Candidate
PBS VOTE,PBS Valid Vote for the Candidate
PBS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
BERSEKUTU,Parti Barisan Rakyat Sabah Bersekutu (BERSEKUTU)
BERSEKUTU CANDIDATE,BERSEKUTU Candidate Name
BERSEKUTU CANDIDATE SEX,Male/Female Classification
BERSEKUTU CANDIDATE AGE,Age of BERSEKUTU Candidate
BERSEKUTU VOTE,BERSEKUTU Valid Vote for the Candidate
BERSEKUTU CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (1),Other Party Name
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (1) VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent with Symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (2),Independent with Symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (3),Independent with Symbol
INDEPENDENT (3) CANDIDATE,Independent Candidate Name
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
UMNO,United Malays National Organisation
MCA,Malaysian Chinese Association
LDP,Liberal Democratic Party
SAPP,Sabah Progressive Party
AKAR,Angkatan Keadilan Rakyat
PDS,Parti Demokratik Sabah
PBRS,Parti Bersatu Rakyat Sabah
SETIA,Parti Demokratik Setiahati Kuasa Rakyat Bersatu Sabah
PASOK,Pertubuhan Kebangsaan Pasok Nunukragang Bersatu
PAS,Parti Islam Se-Malaysia
