UNIQUE CODE (1981),PARLIAMENTARY CONSTITUENCY CODE (1981),PARLIAMENTARY CONSTITUENCY NAME (1981),STATE CONSTITUENCY CODE (1981),STATE CONSTITUENCY NAME (1981),UNIQUE CODE (1984),STATE (1984),PARLIAMENTARY CONSTITUENCY CODE (1984),PARLIAMENTARY CONSTITUENCY NAME (1984),STATE CONSTITUENCY CODE (1984),STATE CONSTITUENCY NAME (1984),DUN NAME CHANGE,NEW DUN SEAT,NOTES
P.115_N.1,P.115,MARUDU,N.1,BANGGI,P. 134_N. 1,SABAH,P. 134,MARUDU,N. 1,BANGGI,,,Boundaries were changed
P.115_N.2,P.115,MARUDU,N.2,KUDAT,P. 134_N. 2,SABAH,P. 134,MARUDU,N. 2,KUDAT,,,Boundaries were changed
P.115_N.3,P.115,MARUDU,N.3,BENGKOKA,P. 134_N. 3,SABAH,P. 134,MARUDU,N. 3,BENGKOKA,,,Boundaries were changed
P.116_N.4,P.116,BANDAU,N.4,MATUNGGONG,P. 135_N. 4,SABAH,P. 135,BANDAU,N. 4,MATUNGGONG,,,Boundaries were changed
P.116_N.5,P.116,BANDAU,N.5,LANGKON,P. 135_N. 6,SABAH,P. 135,BANDAU,N. 6,LANGKON,,,Boundaries were changed
P.116_N.6,P.116,BANDAU,N.6,TANDEK,P. 135_N. 5,SABAH,P. 135,BANDAU,N. 5,TANDEK,,,Boundaries were changed
P.117_N.7,P.117,KOTA BELUD,N.7,USUKAN,P. 136_N. 8,SABAH,P. 136,KOTA BELUD,N. 8,USUKAN,,,Boundaries were changed
P.117_N.8,P.117,KOTA BELUD,N.8,TEMPASUK,P. 136_N. 7,SABAH,P. 136,KOTA BELUD,N. 7,TEMPASUK,,,Boundaries were changed
P.117_N.9,P.117,KOTA BELUD,N.9,KEBAYAU,P. 136_N. 9,SABAH,P. 136,KOTA BELUD,N. 9,KADAMAIAN,YES,,Boundaries were changed
P.118_N.10,P.118,LABUK SUGUT,N.10,SUGUT,P. 139_N. 15,SABAH,P. 139,JAMBONGAN,N. 15,SUGUT,,,Boundaries were changed
P.118_N.11,P.118,LABUK SUGUT,N.11,SEMAWANG,P. 139_N. 17,SABAH,P. 139,JAMBONGAN,N. 17,SUNGAI SIBUGA,YES,,Boundaries were changed
P.118_N.12,P.118,LABUK SUGUT,N.12,LABUK,P. 139_N. 16,SABAH,P. 139,JAMBONGAN,N. 16,LABUK,,,Boundaries were changed
P.119_N.13,P.119,TUARAN,N.13,SULAMAN,P. 137_N. 11,SABAH,P. 137,TUARAN,N. 11,SULAMAN,,,Boundaries were changed
P.119_N.14,P.119,TUARAN,N.14,TAMPARULI,P. 137_N. 10,SABAH,P. 137,TUARAN,N. 10,TAMPARULI,,,Boundaries were changed
P.119_N.15,P.119,TUARAN,N.15,KIULU,P. 137_N. 12,SABAH,P. 137,TUARAN,N. 12,KIULU,,,Boundaries were changed
P.120_N.16,P.120,KINABALU,N.16,KUNDASANG,P. 138_N. 13,SABAH,P. 138,KINABALU,N. 13,KUNDASANG,,,Boundaries were changed
P.120_N.17,P.120,KINABALU,N.17,RANAU,P. 138_N. 14,SABAH,P. 138,KINABALU,N. 14,RANAU,,,Boundaries were changed
