Created on,27/4/2023
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Tindak Malaysia (2023), Attorney General Chambers, The Star, Undi.info. Refer to JOHOR_2018_DUN_CANDIDATE_AGE_SOURCE for complete list"
Disclaimers,"There may be discrepancies for the age of candidates as there is no official data released for the attribute.There are many missing data points for age attribute for candidates. If year/date of birth is found, age of candidate shown here is the age of the candidate at the end of 31/12/2018. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives."
,
,
Attribute,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier)
PARLIAMENTARY CODE,Parliamentary Code (2018 - present at the Created Date)
PARLIAMENTARY NAME,Parliamentary Name (2018 - present at the Created Date)
STATE CONSTITUENCY CODE,State Constituency (DUN) Code (2018 - present at the Created Date)
STATE CONSTITUENCY NAME,State Constituency (DUN) Name (2018 - present at the created Date)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,"Total Electors of GE14. For full description of this electoral roll, refer to this Gazette: https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/pub_20180410_P.U.%20(B)%20173.pdf"
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT(%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOT ISSUED,Total number of ballot papers issued at the poll (as in A in all Form 14 + A in Form 15)
TOTAL UNRETURNED VOTES,Total number of ballot papers issued but not put in the ballot box (as in D in all Form 14) and not returned (as in D in Form 15) (B-C-D)
TOTAL REJECTED VOTES,Total number of rejected ballot papers (as in C in all Form 14 + C in Form 15)
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name as per the Government Gazette (Form 8)
BN CANDIDATE GENDER,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN CANDIDATE VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PH,Pakatan Harapan (PH) Component Party
PH CANDIDATE,Pakatan Harapan Candidate Name as per the Government Gazette (Form 8)
PH CANDIDATE GENDER,Male/Female Classification
PH CANDIDATE AGE,Age of Pakatan Harapan Candidate
PH CANDIDATE VOTE,Pakatan Harapan Valid Vote for the Candidate
PH CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
GS,Gagasan Sejahtera (GS) Component Party
GS CANDIDATE,Gagasan Sejahtera Candidate Name as per the Government Gazette (Form 8)
GS CANDIDATE GENDER,Male/Female Classification
GS CANDIDATE AGE,Age of Gagasan Sejahtera Candidate
GS CANDIDATE VOTE,Gagasan Sejahtera Valid Vote for the Candidate
GS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (1),Other Party Name
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name as per the Government Gazetter (Form 8)
OTHER PARTY (1) CANDIDATE GENDER,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (1) CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (2),Other Party Name
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name as per the Government Gazetter (Form 8)
OTHER PARTY (2) CANDIDATE GENDER,Male/Female Classification
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (2) CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (3),Other Party Name
OTHER PARTY (3) CANDIDATE,Other Party Candidate Name as per the Government Gazetter (Form 8)
OTHER PARTY (3) CANDIDATE GENDER,Male/Female Classification
OTHER PARTY (3) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (3) CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 1,Independent with Symbol
INDEPENDENT 1 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 1 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 1 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 1 CANDIDATE VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 1 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT 2,Independent with Symbol
INDEPENDENT 2 CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT 2 CANDIDATE GENDER,Male/Female Classification
INDEPENDENT 2 CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT 2 CANDIDATE VOTE,Independent Valid Vote for the Candidate
INDEPENDENT 2 CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
UMNO,United Malays National Organisation
MCA,Malaysian Chinese Association
MIC,Malaysian Indian Congress
PPP,People's Progressive Party
GERAKAN,Parti Gerakan Rakyat Malaysia
PKR,Parti Keadilan Rakyat
DAP,Democratic Action Party
PAN,Parti Amanah Negara
PPBM,Parti Pribumi Bersatu Malaysia
PAS,Parti Islam Se-Malaysia
PSM,Parti Sosialis Malaysia
PRM,Parti Rakyat Malaysia
