Created on,"13/1/2024 ,updated on 16/1/2024, 11/3/2024, 2/6/2024"
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Tindak Malaysia (2024), State of Sabah Government Gazette 1st April 1967 (for Contested Candidate Names), State of Sabah Government Gazette 10th May 1967 (for Uncontested Candidate Names and Election Results), Penyata pilihanraya umum Dewan Negeri, Sabah, 1967 (for information on Lost Deposit) Refer to 1967_OTHER_SOURCES for other source files"
Disclaimers,"Constituency Codes and Names as per Sabah 1966 Delineation Map by EC. Government Gazette spells Bengkoka-Banggi as Bengkokka-Banggi and spells Pensiangan-Sook as Pensiangan Sook. Government Gazette has wrong values for Total Ballots Issued for Constituencies of Bengkoka- Banggi, Labuan, Pensiangan-Sook, Ranau, Sandakan Bandar and Lamag. There may be a presence for missing data points for age attribute for candidates. Sabah Alliance parties contested among themselves. Following are the SCA Candidates who used Alliance (Perikatan) flag instead of SCA - DATO PHANG THET TSUNG, KHOO SIAK CHIEW, MR. PETER LO SU YIN and CHAN FOO SANG. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives."
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier).
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Code (1966 - 1974)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Name (1966 - 1974)
STATE CONSTITUENCY CODE,State Constituency Code (1966 - 1974)
STATE CONSTITUENCY NAME,State Constituency Code (1966 - 1974)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector Count for 1967 elections using Certified Electoral Roll of 1st February 1967
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers used at the poll (excluding spoiled ballot papers)
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
SABAH ALLIANCE (1),Sabah Alliance Component Party (USNO/SCA)
SABAH ALLIANCE (1) CANDIDATE,Sabah Alliance Candidate Name as per Government Gazette
SABAH ALLIANCE (1) CANDIDATE SEX,Male/Female Classification
SABAH ALLIANCE (1) CANDIDATE AGE,Age of Sabah Alliance Candidate
SABAH ALLIANCE (1) VOTE,Sabah Alliance Valid Vote for the Candidate
SABAH ALLIANCE (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
SABAH ALLIANCE (2),Sabah Alliance Component Party (UPKO)
SABAH ALLIANCE (2) CANDIDATE,Sabah Alliance Candidate Name as per Government Gazette
SABAH ALLIANCE (2) CANDIDATE SEX,Male/Female Classification
SABAH ALLIANCE (2) CANDIDATE AGE,Age of Sabah Alliance Candidate
SABAH ALLIANCE (2) VOTE,Sabah Alliance Valid Vote for the Candidate
SABAH ALLIANCE (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
INDEPENDENT (1),Independent with symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name as per the Government Gazette
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
INDEPENDENT (2),Independent with symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
INDEPENDENT (3),Independent with symbol
INDEPENDENT (3) CANDIDATE,Independent Candidate Name as per the Government Gazette
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
INDEPENDENT (4),Independent Candidate Name as per the Government Gazette
INDEPENDENT (4) CANDIDATE,Independent Candidate Name as per the Ballot
INDEPENDENT (4) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (4) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (4) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (4) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
INDEPENDENT (5),Independent with symbol
INDEPENDENT (5) CANDIDATE,Independent Candidate Name as per the Government Gazette
INDEPENDENT (5) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (5) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (5) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (5) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
USNO,United Sabah National Organisation
SCA,Sabah Chinese Association
UPKO,United Pasokmomogun Kadazan Organisation
