UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.21_NO. 18,PERAK,P.21,ULU PERAK,NO. 18,LENGGONG,ALLIANCE - UMNO,,11264,3990,72.6,8178,120,8058,UMNO,AHMAD BIN SAID,MALE,,5342,,PRM,SHAHARUDDIN DAHALAN,MALE,,509,LOST DEPOSIT,PMIP,HAJI ABDUL SAMAD BIN HJ. MOHD. NOH,MALE,,1352,,PPP,LUM KWOK LOON,MALE,,855,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.22_NO. 19,PERAK,P.22,KUALA KANGSAR,NO. 19,SENGGANG,ALLIANCE - UMNO,,14224,2810,67.95,9665,197,9468,UMNO,SHAARI BIN PIAI,MALE,,5169,,PRM,SAEDAH BINTI MOHD. HASHIM,FEMALE,,1940,,PMIP,ABDUL MUTALIB BIN HAJI MOHD. TAHIR,MALE,,2359,,,,,,,,,,,,,,,,,,,,,,,,,
P.22_NO. 20,PERAK,P.22,KUALA KANGSAR,NO. 20,PADANG RENGAS,ALLIANCE - UMNO,,12242,2750,72.13,8830,168,8662,UMNO,ABAS BIN MOHD. ADAM,MALE,,4931,,PRM,TALIB BIN HUSSAIN,MALE,,1550,,PMIP,ABDUL RASHID BIN ABDUL KARIM,MALE,,2181,,,,,,,,,,,,,,,,,,,,,,,,,
P.23_NO. 21,PERAK,P.23,PARIT,NO. 21,BLANJA,ALLIANCE - UMNO,,10085,2657,77.29,7795,94,7701,UMNO,MOHD. HARUN BIN KULOP SEMAN,MALE,,5074,,PRM,YUSOOF BIN SAROH,MALE,,210,LOST DEPOSIT,PMIP,MEOR AHMAD BIN YUSOF,MALE,,2417,,,,,,,,,,,,,,,,,,,,,,,,,
P.23_NO. 22,PERAK,P.23,PARIT,NO. 22,KAMPONG GAJAH,ALLIANCE - UMNO,,8860,2185,78.65,6968,125,6843,UMNO,ISMAIL BIN HAJI KARIM,MALE,,4514,,,,,,,,PMIP,HAJI SAADUDDIN BIN HAJI YAHYA,MALE,,2329,,,,,,,,,,,,,,,,,,,,,,,,,
P.24_NO. 23,PERAK,P.24,HILIR PERAK,NO. 23,SUNGEI MANIK,ALLIANCE - UMNO,,5962,347,68.85,4105,96,4009,UMNO,YAHYA SHUBBAN BIN HAJI HARUN,MALE,37,2178,,,,,,,,PMIP,HAJI RAIS KADRI,MALE,41,1831,,,,,,,,,,,,,,,,,,,,,,,,,
P.24_NO. 24,PERAK,P.24,HILIR PERAK,NO. 24,BANDAR,ALLIANCE - UMNO,,7022,1376,72.39,5083,157,4926,UMNO,HAJI AHMAD RAZALI BIN HJ. MOHAMED,MALE,41,3151,,,,,,,,PMIP,HAJI AHMAD BIN HAJI MOHD. ALI,MALE,39,1775,,,,,,,,,,,,,,,,,,,,,,,,,
P.25_NO. 25,PERAK,P.25,BAGAN DATOH,NO. 25,RUNGKUP,ALLIANCE - UMNO,,10721,2463,70.34,7541,202,7339,UMNO,LOPE HASHIM BIN KETONG,MALE,51,4901,,,,,,,,PMIP,ALI AKBAR BIN MOHD. AMIN,MALE,52,2438,,,,,,,,,,,,,,,,,,,,,,,,,
P.25_NO. 26,PERAK,P.25,BAGAN DATOH,NO. 26,HUTAN MELINTANG,ALLIANCE - UMNO,,7824,1440,65.26,5106,304,4802,UMNO,SULAIMAN BIN BULOH,MALE,37,3121,,,,,,,,PMIP,ADNAN BIN ABDUL SAMAD,MALE,43,1681,,,,,,,,,,,,,,,,,,,,,,,,,
P.26_NO. 27,PERAK,P.26,TELOK ANSON,NO. 27,BATAK RABIT,ALLIANCE - UMNO,,8991,584,68.38,6148,204,5944,UMNO,SOM BINTI ABDULLAH,FEMALE,34,2495,,PRM,JOHAR SHAH BUDIN,MALE,53,200,LOST DEPOSIT,PMIP,AHMAD SEDEK ASIFF,MALE,40,874,,PPP,CHIN NAN KING,MALE,35,1911,,,,,,,,INDEPENDENT,WU SHEIK CHUANG,MALE,42,464,LOST DEPOSIT,,,,,,
P.26_NO. 28,PERAK,P.26,TELOK ANSON,NO. 28,PASIR BEDAMAR,ALLIANCE - MCA,,13771,4586,65.99,9088,248,8840,MCA,WAH KENG JOOI,MALE,57,6713,,,,,,,,,,,,,,PPP,LEE SOOI SOO,MALE,27,2127,,,,,,,,,,,,,,,,,,,
P.27_NO. 29,PERAK,P.27,IPOH,NO. 29,PEKAN LAMA,PPP,,15448,1658,68.59,10596,104,10492,MCA,LEONG KEE NYEAN,MALE,31,4417,,,,,,,,,,,,,,PPP,TOH SEANG ENG,MALE,48,6075,,,,,,,,,,,,,,,,,,,
P.27_NO. 30,PERAK,P.27,IPOH,NO. 30,PEKAN BHARU,PPP,,15009,1756,69.59,10445,105,10340,MCA,CHANG HOEY CHAN,MALE,53,4292,,,,,,,,,,,,,,PPP,DHARMA RAJA SEENIVASAGAM,MALE,35,6048,,,,,,,,,,,,,,,,,,,
P.28_NO. 31,PERAK,P.28,MENGLEMBU,NO. 31,PASIR PUTEH,PPP,,16308,2931,74.43,12138,135,12003,MCA,YEOH KIAN TEK,MALE,34,4536,,,,,,,,,,,,,,PPP,MOHD. FAJAR ALI BIN HASSAN,MALE,27,7467,,,,,,,,,,,,,,,,,,,
P.28_NO. 32,PERAK,P.28,MENGLEMBU,NO. 32,KUALA PARI,PPP,,17301,2765,67.84,11737,128,11609,MCA,CHONG HONG CHEW,MALE,34,4422,,,,,,,,,,,,,,PPP,SRI PADHMARAJA SEENIVASAGAM,MALE,41,7187,,,,,,,,,,,,,,,,,,,
P.29_NO. 33,PERAK,P.29,SUNGEI SIPUT,NO. 33,KARAI,ALLIANCE - UMNO,,8587,2362,65.18,5597,83,5514,UMNO,MOHAMED ALI BIN HAJI MOHAMED ZAIN,MALE,39,3326,,PRM,KASSIM BIN JAN,MALE,33,964,,PMIP,MOHD. TAIB BIN ABD. HAMID,MALE,35,686,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,SHAHUDIN BIN KULOP MAT LODIN,MALE,49,538,LOST DEPOSIT,,,,,,
P.29_NO. 34,PERAK,P.29,SUNGEI SIPUT,NO. 34,JALONG,ALLIANCE - MCA,,8588,444,72.6,6235,91,6144,MCA,SEE KHOON LIM,MALE,50,3294,,,,,,,,,,,,,,PPP,CHOY KOK KUAN,MALE,43,2850,,,,,,,,,,,,,,,,,,,
P.30_NO. 35,PERAK,P.30,ULU KINTA,NO. 35,CHEMOR,PPP,,9335,1223,73.39,6851,140,6711,MIC,V. MANI KUTTY,MALE,30,1726,,LPM,YAU HOON SEH,MALE,,987,,,,,,,,PPP,TEOH KIM SWEE,MALE,,2949,,,,,,,,INDEPENDENT,MAHMUD BIN SHEIKH ABDUL MAJID,MALE,54,1049,,,,,,,
P.30_NO. 36,PERAK,P.30,ULU KINTA,NO. 36,SUNGEI RAIA,PPP,,8812,1569,73.12,6443,125,6318,MCA,KOK YOON SAN,MALE,64,2015,,,,,,,,PMIP,OTHMAN BIN MOHAMED AKIB,MALE,49,719,LOST DEPOSIT,PPP,CHIN FOON,MALE,,3584,,,,,,,,,,,,,,,,,,,
P.31_NO. 37,PERAK,P.31,BATU GAJAH,NO. 37,TANJONG TUALANG,ALLIANCE - MCA,,7258,108,74.92,5438,74,5364,MCA,TOO JOON TING,MALE,45,2467,,PRM,IBRAHIM KARIM,MALE,41,204,LOST DEPOSIT,PMIP,HAJI ISA,MALE,40,334,LOST DEPOSIT,PPP,THEAN MOI TUCK,MALE,36,2359,,,,,,,,,,,,,,,,,,,
P.31_NO. 38,PERAK,P.31,BATU GAJAH,NO. 38,PUSING,PPP,,13748,1799,72.21,9928,133,9795,MCA,LAU KOOI SEONG,MALE,34,3602,,,,,,,,PMIP,MOHAMED CHOLAN,MALE,60,792,LOST DEPOSIT,PPP,KHONG KOK YAT,MALE,29,5401,,,,,,,,,,,,,,,,,,,
P.32_NO. 39,PERAK,P.32,KAMPAR,NO. 39,GOPENG,PPP,,11862,116,74.25,8807,246,8561,UMNO,AHMAD JOHAN,MALE,,3479,,PRM,AHMAD NOOR SHUKOOR,MALE,,563,LOST DEPOSIT,PMIP,SYED OUN,MALE,,924,LOST DEPOSIT,PPP,HOR HOCK LUNG,MALE,,3595,,,,,,,,,,,,,,,,,,,
P.32_NO. 40,PERAK,P.32,KAMPAR,NO. 40,KUALA DIPANG,ALLIANCE - MCA,,14697,1088,74.01,10877,222,10655,MCA,TEH SIEW ENG,MALE,,5410,,LPM,LEE HOOI KEAT,MALE,,346,LOST DEPOSIT,PMIP,HAJI AHMAD,MALE,,577,LOST DEPOSIT,PPP,MAK FIE HONG,MALE,,4322,,,,,,,,,,,,,,,,,,,
P.33_NO. 1,SELANGOR,P.33,BATU,NO. 1,KEPONG,ALLIANCE - MCA,,13566,729,74.44,10098,217,9881,MCA,CHAN KEONG HON,MALE,,5305,,LPM,NG ANN TECK,MALE,,4576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33_NO. 2,SELANGOR,P.33,BATU,NO. 2,PENCHALA,ALLIANCE - MCA,,7291,166,61.5,4484,52,4432,MCA,LIM JEW SIANG,MALE,,2299,,LPM,Y.P. LIU,MALE,,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_NO. 3,SELANGOR,P.34,BUNGSAR,NO. 3,PANTAI,SF - LPM,,13105,190,65.22,8547,65,8482,MCA,TEH HUNG KIAT,MALE,,4105,,LPM,V. DAVID,MALE,26,4295,,,,,,,,PPP,R. MADHAVAN,MALE,,82,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.34_NO. 4,SELANGOR,P.34,BUNGSAR,NO. 4,SALAK,ALLIANCE - MCA,,22432,1987,67.9,15231,168,15063,MCA,DOUGLAS K.K. LEE,MALE,36,6291,,LPM,KONG CHEE KEN,MALE,,409,LOST DEPOSIT,,,,,,,PPP,CHEW CHOO SOOT,MALE,,4059,,,,,,,,INDEPENDENT,KOH POOI KEE,MALE,,4304,,,,,,,
P.35_NO. 5,SELANGOR,P.35,BUKIT BINTANG,NO. 5,BUKIT NANAS,ALLIANCE - MCA,,15519,599,58.24,9039,140,8899,MCA,LEE YOON THIM,MALE,50,4749,,LPM,AMERICK SINGH GILL,MALE,,4150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_NO. 6,SELANGOR,P.35,BUKIT BINTANG,NO. 6,KAMPONG BAHRU,ALLIANCE - UMNO,,9474,1256,56,5305,69,5236,UMNO,ABDULLAH YASSIN,MALE,,2703,,PRM,KAMARUDIN BIN ABU HASSAN,MALE,,1447,,PMIP,SYED IBRAHIM BIN SYED SALIM,MALE,,1086,,,,,,,,,,,,,,,,,,,,,,,,,
P.36_NO. 7,SELANGOR,P.36,SETAPAK,NO. 7,AMPANG,ALLIANCE - UMNO,,11999,994,61.26,7350,86,7264,UMNO,MAHYEEDDIN BIN MOHD. ZAKARIA,MALE,,3579,,PRM,MOHD. YUSOF BIN S. BETUAH,MALE,,2585,,PMIP,MAMAT @ ABDUL SAMAD BIN MD. SALLEH,MALE,,853,LOST DEPOSIT,,,,,,,NEGARA,AZIZ BIN ABDULLAH,MALE,,247,LOST DEPOSIT,,,,,,,,,,,,
P.36_NO. 8,SELANGOR,P.36,SETAPAK,NO. 8,SENTUL,SF - PRM,,10513,552,59.84,6291,65,6226,MIC,MRS. DEVAKI KRISHNAN,FEMALE,35,2413,,PRM,NAZAR NONG,MALE,31,2965,,PMIP,ABDUL AZIZ BIN ISMAIL,MALE,,848,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_NO. 9,SELANGOR,P.37,ULU SELANGOR,NO. 9,ULU BERNAM,ALLIANCE - UMNO,,6280,1637,85.08,5343,196,5147,UMNO,HJ. NOR BIN HAJI YUSOF,MALE,,3392,,PRM,ABDULLAH BIN HAJI ZAINAL,MALE,,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_NO. 10,SELANGOR,P.37,ULU SELANGOR,NO. 10,KUALA KUBU,ALLIANCE - MCA,Y,7270,,,,,,MCA,WONG SWEE SOON,MALE,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38_NO. 11,SELANGOR,P.38,RAWANG,NO. 11,SERENDAH,INDEPENDENT,,7567,1566,78.27,5923,125,5798,MIC,G. LEO,MALE,,2116,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,RAJAH,MALE,,3682,,,,,,,
P.38_NO. 12,SELANGOR,P.38,RAWANG,NO. 12,KUANG,ALLIANCE - MCA,,6807,2471,81.18,5526,151,5375,MCA,CHONG SHIH GUAN,MALE,,3923,,,,,,,,PMIP,ABDULLAH BIN MAT JUNAN,MALE,,1452,,,,,,,,,,,,,,,,,,,,,,,,,
P.39_NO. 13,SELANGOR,P.39,SABAK BERNAM,NO. 13,SABAK,ALLIANCE - UMNO,,10097,4410,68.69,6936,210,6726,UMNO,HAJI MUSTAFA BIN HAJI JABAR,MALE,,5378,,,,,,,,PMIP,MOHD. JANAH BIN SABUN,MALE,,968,,,,,,,,,,,,,,INDEPENDENT,JAAFAR BIN HAJI ALI,MALE,,380,LOST DEPOSIT,,,,,,
P.39_NO. 14,SELANGOR,P.39,SABAK BERNAM,NO. 14,SUNGEI BESAR,ALLIANCE - UMNO,,8810,1042,64.6,5691,275,5416,UMNO,TAIBAN BIN HASSAN,MALE,,3229,,,,,,,,PMIP,HAJI ABDUL HAKIM BIN HAJI ABDULLAH,MALE,,2187,,,,,,,,,,,,,,,,,,,,,,,,,
P.40_NO. 15,SELANGOR,P.40,KUALA SELANGOR,NO. 15,TANJONG KARANG,ALLIANCE - UMNO,,9062,1139,72.47,6567,254,6313,UMNO,RAJA ROME BIN RAJA MA'AMOR,MALE,51,3726,,,,,,,,PMIP,MOHAMED AMBIA BIN SANUSI,MALE,,2587,,,,,,,,,,,,,,,,,,,,,,,,,
P.40_NO. 16,SELANGOR,P.40,KUALA SELANGOR,NO. 16,KUALA SELANGOR PEKAN,ALLIANCE - MCA,,10004,1427,78.95,7898,280,7618,MCA,TAN SIEW KANG,MALE,,3994,,,,,,,,PMIP,AWANG BIN AHMAD,MALE,,1057,,,,,,,,M.P.,N. MANICKAM,MALE,,2567,,,,,,,,,,,,,
P.41_NO. 17,SELANGOR,P.41,LANGAT,NO. 17,KAJANG,ALLIANCE - UMNO,,9068,1082,77.6,7037,109,6928,UMNO,MUSTAFA YUNUS,MALE,,3180,,PRM,YAHAYA BIN HAJI HUSSAIN,MALE,,2098,,,,,,,,,,,,,,NEGARA,MOHD. NAZIR BIN HAJI ABDUL JALIL,MALE,,1650,,,,,,,,,,,,,
P.41_NO. 18,SELANGOR,P.41,LANGAT,NO. 18,SEMENYIH,ALLIANCE - UMNO,,6881,2943,78.65,5412,295,5117,UMNO,DATO' KAMPO RADJO,MALE,37,3734,,,,,,,,PMIP,YUNUS BIN HAJI YATIM,MALE,,592,LOST DEPOSIT,,,,,,,NEGARA,DATO' DAGANG SILIN,MALE,,791,,,,,,,,,,,,,
P.42_NO. 19,SELANGOR,P.42,SEPANG,NO. 19,DENGKIL,ALLIANCE - UMNO,,6754,3188,72.31,4884,208,4676,UMNO,ABU BAKAR BIN BAGINDA,MALE,60,3809,,,,,,,,PMIP,OMAR BIN BUJANG,MALE,,621,,,,,,,,,,,,,,INDEPENDENT,LEE SIOK YEW,MALE,,246,LOST DEPOSIT,,,,,,
P.42_NO. 20,SELANGOR,P.42,SEPANG,NO. 20,SUNGEI RAWANG,INDEPENDENT,,6594,481,85.02,5606,114,5492,MIC,JAYARATNAM,MALE,33,1383,,,,,,,,PMIP,MOHD. SAHID BIN HJ. ARSHAD,MALE,,892,,PPP,NADARAJAH K.V. ,MALE,,1353,,,,,,,,INDEPENDENT,LIM TUANG SIONG,MALE,,1864,,,,,,,
P.43_NO. 21,SELANGOR,P.43,KLANG,NO. 21,PORT SWETTENHAM,ALLIANCE - UMNO,,9303,4013,67.51,6280,291,5989,UMNO,ABDULLAH BIN HAJI HASSAN,MALE,,5001,,,,,,,,PMIP,SHAHRUDDIN BIN GAYAU TARWITA,MALE,,988,,,,,,,,,,,,,,,,,,,,,,,,,
P.43_NO. 22,SELANGOR,P.43,KLANG,NO. 22,KAMPONG JAWA,ALLIANCE - MCA,,10374,5684,75.4,7822,218,7604,MCA,CHEONG JIN HOE,MALE,,6644,,,,,,,,PMIP,RAJA SHAHRIN BIN RAJA OTHMAN,MALE,,960,,,,,,,,,,,,,,,,,,,,,,,,,
P.44_NO. 23,SELANGOR,P.44,KUALA LANGAT,NO. 23,TELOK DATOH,ALLIANCE - UMNO,,8525,2191,83.55,7123,282,6841,UMNO,RAJA ISMAIL BIN RAJA IBRAHIM,MALE,,4516,,,,,,,,PMIP,ALI BIN HAJI SALLEH,MALE,,2325,,,,,,,,,,,,,,,,,,,,,,,,,
P.44_NO. 24,SELANGOR,P.44,KUALA LANGAT,NO. 24,MORIB,ALLIANCE - UMNO,,8589,3719,84.54,7261,150,7111,UMNO,MOHD. TAHIR BIN ABDUL MAJID,MALE,,4888,,,,,,,,PMIP,ADNI BIN KUSAS,MALE,,1169,,,,,,,,NEGARA,RAJA ADNAN BIN RAJA BASOK,MALE,56,1054,,,,,,,,,,,,,
P.45_NO. 25,SELANGOR,P.45,KAPAR,NO. 25,JERAM,ALLIANCE - UMNO,,7496,2263,77.52,5811,188,5623,UMNO,HUSSAIN BIN ABDULLAH,MALE,,3943,,,,,,,,PMIP,KASSIM BIN HAJI SIRAT,MALE,,1680,,,,,,,,,,,,,,,,,,,,,,,,,
P.45_NO. 26,SELANGOR,P.45,KAPAR,NO. 26,SEMENTA,ALLIANCE - UMNO,,7643,3131,69.57,5317,170,5147,UMNO,HAJI MAS'OD BIN HAYATI,MALE,,4139,,,,,,,,PMIP,AHMAD BIN HAJI HASSAN,MALE,,1008,,,,,,,,,,,,,,,,,,,,,,,,,
P.46_NO. 27,SELANGOR,P.46,DAMANSARA,NO. 27,SERDANG,SF - PRM,,13502,1889,74.69,10084,207,9877,MCA,CHAN CHEE HONG,MALE,45,3994,,PRM,K .KARAM SINGH,MALE,23,5883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.46_NO. 28,SELANGOR,P.46,DAMANSARA,NO. 28,BUKIT RAJA,ALLIANCE - MIC,,6255,1018,72.1,4510,126,4384,MIC,MURUGESU S/O SUNDRAM,MALE,,2701,,,,,,,,,,,,,,PPP,FUNG AH CHAT,MALE,,1683,,,,,,,,,,,,,,,,,,,
P.47_NO. 1,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 1,KUALA KLAWANG,ALLIANCE - MCA,,5010,1819,85.41,4279,78,4201,MCA,LIM KIM KEE,MALE,,3010,,,,,,,,PMIP,OMAR BIN AHMAD,,,1191,,,,,,,,,,,,,,,,,,,,,,,,,
P.47_NO. 2,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 2,PERTANG,INDEPENDENT,,3217,245,84.36,2714,61,2653,UMNO,IBRAHIM BIN HAJI MANSOR,MALE,,1060,,,,,,,,PMIP,AHMAD BIN HAJI YAACOB,MALE,,288,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,AMINUDDIN BIN ABDUL MANAF,MALE,,1305,,,,,,,
P.47_NO. 3,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 3,BAHAU,ALLIANCE - MCA,,3751,247,84.16,3157,99,3058,MCA,THONG HIANG KIM,MALE,,1529,,LPM,CHAI YAU FOH,MALE,,1282,,PMIP,HARUN BIN YUSOF,MALE,,247,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.47_NO. 4,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 4,ROMPIN,SF - LPM,,4555,131,74.95,3414,111,3303,MCA,HO HONG YEOW,MALE,,1556,,LPM,LIM KEE SAI,MALE,,1687,,,,,,,,,,,,,,,,,,,,INDEPENDENT,LEE KHAN HENG,MALE,,60,LOST DEPOSIT,,,,,,
P.47_NO. 5,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 5,JEMPOL,ALLIANCE - UMNO,,4377,2125,78.87,3452,61,3391,UMNO,HAJI MOHAMAD KHATIB BIN MOHAMAD NOR,MALE,,2758,,,,,,,,PMIP,MUSTAPHA BIN MOHAMAD,MALE,,633,,,,,,,,,,,,,,,,,,,,,,,,,
P.48_NO. 6,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 6,SRI MENANTI,ALLIANCE - UMNO,,6123,1737,80.84,4950,84,4866,UMNO,ABDUL SAMAD BIN IDRIS,MALE,36,2965,,,,,,,,PMIP,JAALAM BIN OTHMAN,MALE,,1228,,,,,,,,,,,,,,INDEPENDENT,RAJA HARUN BIN RAJA TACHIK,MALE,,673,,,,,,,
P.48_NO. 7,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 7,JOHOL,ALLIANCE - UMNO,,5398,1165,78.38,4231,175,4056,UMNO,ABU KASSIM BIN SAAD,MALE,,2392,,,,,,,,PMIP,A. GHANI BIN A. SAMAD,MALE,,437,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,GAN ENG KWEE,MALE,,1227,,,,,,,
P.48_NO. 8,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 8,ULU MUAR,ALLIANCE - UMNO,,5760,2396,82.48,4751,111,4640,UMNO,ARIFFIN BIN ALI,MALE,,3518,,,,,,,,PMIP,ABDUL AZIZ BIN HAJI MOHD. YUNUS,MALE,,1122,,,,,,,,,,,,,,,,,,,,,,,,,
P.48_NO. 9,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 9,PILAH,ALLIANCE - UMNO,,5392,1068,80.6,4346,59,4287,UMNO,MOHAMED IDRIS BIN MATSIL,MALE,,2328,,,,,,,,PMIP,ABD. MAJID BIN ABD. WAHAB,MALE,,699,,,,,,,,,,,,,,INDEPENDENT,KOK LEONG YIN,MALE,,1260,,,,,,,
P.49_NO. 10,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 10,JIMAH,ALLIANCE - MIC,,3227,1653,84.38,2723,34,2689,MIC,V. LETCHUMANAN,MALE,,2171,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,BAHARI BIN AWAL,MALE,,518,,,,,,,
P.49_NO. 11,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 11,LUKUT,ALLIANCE - MCA,,1573,186,87.35,1374,40,1334,MCA,CHIN SEE YIN,MALE,,760,,LPM,G. K. KATHIRAVALU,MALE,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.49_NO. 12,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 12,SI-RUSA,ALLIANCE - UMNO,,4535,1866,78.21,3547,100,3447,UMNO,AWALUDIN BIN HAJI AHMAD,MALE,,2359,,,,,,,,PMIP,MOHD. SALLEH BIN HAJI AHMAD,MALE,,467,,,,,,,,NEGARA,HAJI MOHD. TAHIR BIN DATO' ABD. RAHMAN,MALE,,128,LOST DEPOSIT,INDEPENDENT,CHEW TOH SENG,MALE,,493,,,,,,,
P.49_NO. 13,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 13,PASIR PANJANG,ALLIANCE - MIC,,3811,796,84.52,3221,81,3140,MIC,M. MUTHUCUMARU,MALE,,1581,,,,,,,,PMIP,MOHD. MARZUKI BIN HAJI DIN,MALE,,263,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,MD. NOR BIN ABD. HAMID,MALE,,785,,INDEPENDENT,CHEAH YEN KWEE,MALE,,511,
P.49_NO. 14,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 14,LINGGI,ALLIANCE - UMNO,,2617,555,83.53,2186,55,2131,UMNO,DR. MOHAMED SAID,MALE,52,1193,,,,,,,,,,,,,,,,,,,,NEGARA,TENGKU SYED HARUN BIN TUNGKU HASSAN,MALE,,300,,INDEPENDENT,TEH SENG SUM,MALE,,638,,,,,,,
P.50_NO. 15,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 15,TERENTANG,ALLIANCE - UMNO,,4506,522,81.25,3661,76,3585,UMNO,SITI RAHMAH BINTI HJ.KASSIM,FEMALE,33,1617,,,,,,,,PMIP,FATIMAH BINTI HJ. BAHARI,FEMALE,,205,LOST DEPOSIT,,,,,,,NEGARA,ALIAS BIN ABD. RAHMAN,MALE,,1095,,INDEPENDENT,MOHD. NOOR BIN HAJI AHMAD,MALE,,668,,,,,,,
P.50_NO. 16,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 16,KOTA,ALLIANCE - UMNO,,5321,405,83.63,4450,75,4375,UMNO,MOHD. YUSOF BIN ABDULLAH,MALE,,2320,,,,,,,,PMIP,NOORDIN BIN ABDUL SAMAD,MALE,,140,LOST DEPOSIT,,,,,,,NEGARA,BABA BIN LUDEK,MALE,47,1915,,,,,,,,,,,,,
P.50_NO. 17,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 17,TAMPIN,ALLIANCE - UMNO,,4760,1957,83.03,3952,76,3876,UMNO,MD. TAHA BIN ABD. TALIB,MALE,27,2830,,LPM,CHONG SE HOCK,MALE,,873,,PMIP,ABDUL MANAP BIN HUSSIN,MALE,,173,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.50_NO. 18,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 18,GEMAS,ALLIANCE - MCA,,3984,540,82.76,3297,69,3228,MCA,FONG YEW WONG,MALE,,1742,,LPM,TAN KIM GEOK,MALE,,1202,,PMIP,DERAJI BIN YASSIN,MALE,,284,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.51_NO. 19,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 19,LENGGENG,ALLIANCE - UMNO,,5838,1382,80.46,4697,215,4482,UMNO,ABDUL JALIL BIN HAJI AMINUDIN,MALE,,2494,,PRM,MOHD. AMIN BIN RASHID,MALE,,1112,,PMIP,ISMAIL BIN TAMIN,MALE,,842,,,,,,,,,,,,,,INDEPENDENT,JOSEPH SIOW LOONG HIN,MALE,,34,LOST DEPOSIT,,,,,,
