Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA),
Sources,"Report on the parliamentary (Dewan Ra'ayat): and state Legislative assembly general elections, 1964, of the States of Malaya (Election Commission of Malaysia), Report of the Election Commission on the delimitation of constituencies for the first elections to the House of Representatives and the State Legislative Assemblies (Election Commission of Malaya), MIC Laporan Tahunan 1981/82 - Perhimpunan Agung MIC yang ke 30, Perlis Government Gazette 7th May 1959, Malacca Government Gazette 11th June 1959 Perak Government Gazette 25th June 1959, Penang Government Gazette 11th June 1959 & 25th June 1959, Negeri Sembilan Government Gazette 25th June 1959, Johor Government Gazette 14th May 1959 & 2nd July 1959, Trengganu Government Gazette 28th May 1959 & 16th July 1959, singapore-elections.com. Refer to 1959_Other_Sources_Files_DUN for Candidate Age, Sex Category and Party Affliation",
Disclaimers,"Due to absence of comprehensive sources for seat allocations for Socialist Front, the party affliation of candidates are estimated unless there is a source to back up the affliation. Candidate Name for Dhoby Ghaut (Penang), Candidate Names for Kedah, Kelantan and Selangor Legislative Assembly elections are derived from Straits Times of 1959. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives",
,,
Constituencies where Socialist Front Candidates are not estimated,,
,,
STATE,CONSTITUENCY NAME,PARTY AFFLIATION
PERLIS,MATA AYER,PRM
KEDAH,SIK-GURUN,PRM
KEDAH,PEKAN SUNGEI PETANI,PRM
KELANTAN,BANDAR HILIR,PRM
KELANTAN,ULU KELANTAN TIMOR,LPM
TRENGGANU,KUALA BESUT,PRM
TRENGGANU,ULU BESUT,PRM
TRENGGANU,LADANG,PRM
TRENGGANU,MARANG,PRM
TRENGGANU,CHUKAI,PRM
TRENGGANU,BINJAI,PRM
TRENGGANU,ULU TRENGGANU TIMOR,PRM
TRENGGANU,ULU TRENGGANU BARAT,PRM
PULAU PINANG,PERMATANG PAUH,PRM
PULAU PINANG,SUNGEI BAKAP,LPM
PULAU PINANG,TANJONG BUNGAH,PRM
PULAU PINANG,JELUTONG,LPM
PULAU PINANG,GLUGOR,LPM
PULAU PINANG,KOTA,LPM
PULAU PINANG,TANJONG TENGAH,LPM
PULAU PINANG,TANJONG UTARA,LPM
PULAU PINANG,TANJONG BARAT,LPM
PULAU PINANG,SUNGEI PINANG,LPM
PULAU PINANG,TANJONG SELATAN,LPM
PERAK,LARUT,LPM
PERAK,TAIPING,LPM
PERAK,MATANG,LPM
PERAK,TANJONG TUALANG,PRM
PERAK,KUALA DIPANG,LPM
PAHANG,BANDAR RAUB,PRM
PAHANG,BENUS,LPM
PAHANG,MENTAKAB,PRM
PAHANG,ULU KUANTAN,PRM
PAHANG,CHENOR,PRM
PAHANG,TRIANG,LPM
PAHANG,KUALA SEMANTAN,PRM
SELANGOR,KEPONG,LPM
SELANGOR,PENCHALA,LPM
SELANGOR,SENTUL,PRM
SELANGOR,PANTAI,LPM
