Created on,16/11/2025,,,
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA),,,
Sources,"EC (https://mysprsemak.spr.gov.my/semakan/calon/paparPilihanraya), Bernama (https://prn.bernama.com/sabah/penamaan/index-en.php?n=12). Refer to 2025_SABAH_DUN_Other_Sources for detailed listing of sources",,,
Disclaimers,"Candidate spellings follow EC spelling standards. There is conflicting information on how many direct candidates (no party affiliation with GRS Coalition) GRS has. GRS had an initial electoral pact with PH to avoid seat overlap but they clashed for this election. BN had an initial electoral pact with PH to prevent seat overlaps but they clashed for this elections. STAR and SAPP have an electoral pact (hence they are parked in Other Party (1) Category.  Around 17 independent candidates are part of the Black Wave Movement. On 17th November 2025, PKR candidate Hj. Abdul Halim Sidek bin Gulam Hassan withdrew from the contest. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives",,,
,,,,
,,,,
Attribute,,,,
,,,,
FIELD NAME,FIELD DESCRIPTION,,,
UNIQUE CODE,"Unique Identifier. For this case, it is the Parliamentary Code",,,
STATE,State Name,,,
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Constituency Code (2019 - present),,,
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Constituency Name (2019 - present),,,
STATE CONSTITUENCY CODE,State Constituency Code (2019 - present),,,
STATE CONSTITUENCY NAME,State Constituency Name (2019 - present),,,
WINNING PARTY,Party/Coalition (with Component Party) who won the seat,,,
NUMBER OF CANDIDATES,Number of contesting candidates for given State Constituency,,,
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank",,,
TOTAL ELECTORATE,"Total Electors of the Principal Electoral Roll of 2024, which was updated until the August 2025 electoral roll, which was updated up to 6th October 2025",,,
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes,,,
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate,,,
TOTAL BALLOTS ISSUED,Total Number of Ballot Papers issued at the poll (including postal ballot papers issued to voters and rejected ballot papers but excluding spoilt ballot papers),,,
TOTAL UNRETURNED VOTES,Number of ballots papers issued but no returned (including postal ballot papers),,,
TOTAL REJECTED VOTES,Total number of rejected ballot papers,,,
TOTAL VALID VOTES,Total number of votes by electors,,,
GRS,Gabungan Rakyat Sabah (GRS) Component Party,,,
GRS CANDIDATE,Gabungan Rakyat Sarawak Candidate Name as per the Government Gazetter (Form 8),,,
GRS CANDIDATE SEX,Male/Female Classification,,,
GRS CANDIDATE AGE,Age of Gabungan Rakyat Sarawak Candidate,,,
GRS VOTE,Gabungan Rakyat Sarawak Valid Vote for the Candidate,,,
GRS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
BN,Barisan Nasional (BN) Component Party,,,
BN CANDIDATE,Barisan Nasional Candidate Name,,,
BN CANDIDATE SEX,Male/Female Classification,,,
BN CANDIDATE AGE,Age of Barisan Nasional Candidate,,,
BN VOTE,Barisan Nasional Valid Vote for the Candidate,,,
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
PN,Perikatan Nasional (PN) Component Party,,,
PN CANDIDATE,Perikatan Nasional Candidate Name as per the Government Gazette (Form 8),,,
PN CANDIDATE SEX,Male/Female Classification,,,
PN CANDIDATE AGE,Age of Perikatan Nasional Candidate,,,
PN VOTE,Perikatan Nasional Valid Vote for the Candidate,,,
PN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
PH,Pakatan Harapan (PH) Component Party,,,
PH CANDIDATE,Pakatan Harapan Candidate Name as per the Government Gazette (Form 8),,,
PH CANDIDATE SEX,Male/Female Classification,,,
PH CANDIDATE AGE,Age of Pakatan Harapan Candidate,,,
PH VOTE,Pakatan Harapan Valid Vote for the Candidate,,,
PH CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
WARISAN,Parti Warisan,,,
WARISAN CANDIDATE,Party Candidate Name as per the Government Gazette (Form 8),,,
WARISAN CANDIDATE SEX,Male/Female Classification,,,
WARISAN CANDIDATE AGE,Age of Party Candidate,,,
WARISAN VOTE,Party Valid Vote for the Candidate,,,
WARISAN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",,,
PIS,Parti Impian Sabah (PIS),,,
PIS CANDIDATE,Party Candidate Name as per the Government Gazette (Form 8),,,
PIS CANDIDATE SEX,Male/Female Classification,,,
PIS CANDIDATE AGE,Age of Party Candidate,,,
PIS VOTE,Party Valid Vote for the Candidate,,,
